Message,MessageType,MetaData
"{'BaseStationReport': {'CommunicationState': 0, 'FixType': 1, 'Latitude': 27.960728333333336, 'LongRangeEnable': False, 'Longitude': -15.560885, 'MessageID': 11, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2241076, 'UtcDay': 10, 'UtcHour': 19, 'UtcMinute': 11, 'UtcMonth': 12, 'UtcSecond': 1, 'UtcYear': 2024, 'Valid': True}}",BaseStationReport,"{'MMSI': 2241076, 'MMSI_String': 2241076, 'ShipName': '', 'latitude': 27.960728333333336, 'longitude': -15.560885, 'time_utc': '2024-12-10 19:11:02.480976758 +0000 UTC'}"
"{'BaseStationReport': {'CommunicationState': 98380, 'FixType': 15, 'Latitude': 43.37115166666667, 'LongRangeEnable': True, 'Longitude': -2.7638716666666667, 'MessageID': 4, 'PositionAccuracy': False, 'Raim': True, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2241116, 'UtcDay': 10, 'UtcHour': 19, 'UtcMinute': 11, 'UtcMonth': 12, 'UtcSecond': 0, 'UtcYear': 2024, 'Valid': True}}",BaseStationReport,"{'MMSI': 2241116, 'MMSI_String': 2241116, 'ShipName': 'SOLLUBE', 'latitude': 43.37115166666667, 'longitude': -2.7638716666666667, 'time_utc': '2024-12-10 19:11:02.522170352 +0000 UTC'}"
"{'BaseStationReport': {'CommunicationState': 0, 'FixType': 1, 'Latitude': 27.960728333333336, 'LongRangeEnable': False, 'Longitude': -15.560885, 'MessageID': 11, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2241076, 'UtcDay': 10, 'UtcHour': 19, 'UtcMinute': 11, 'UtcMonth': 12, 'UtcSecond': 1, 'UtcYear': 2024, 'Valid': True}}",BaseStationReport,"{'MMSI': 2241076, 'MMSI_String': 2241076, 'ShipName': '', 'latitude': 27.960728333333336, 'longitude': -15.560885, 'time_utc': '2024-12-10 19:11:02.615351764 +0000 UTC'}"
"{'BaseStationReport': {'CommunicationState': 0, 'FixType': 1, 'Latitude': 27.960728333333336, 'LongRangeEnable': False, 'Longitude': -15.560885, 'MessageID': 11, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2241076, 'UtcDay': 10, 'UtcHour': 19, 'UtcMinute': 11, 'UtcMonth': 12, 'UtcSecond': 1, 'UtcYear': 2024, 'Valid': True}}",BaseStationReport,"{'MMSI': 2241076, 'MMSI_String': 2241076, 'ShipName': '', 'latitude': 27.960728333333336, 'longitude': -15.560885, 'time_utc': '2024-12-10 19:11:02.797636699 +0000 UTC'}"
"{'BaseStationReport': {'CommunicationState': 0, 'FixType': 1, 'Latitude': 27.960728333333336, 'LongRangeEnable': False, 'Longitude': -15.560885, 'MessageID': 11, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2241076, 'UtcDay': 10, 'UtcHour': 19, 'UtcMinute': 11, 'UtcMonth': 12, 'UtcSecond': 1, 'UtcYear': 2024, 'Valid': True}}",BaseStationReport,"{'MMSI': 2241076, 'MMSI_String': 2241076, 'ShipName': '', 'latitude': 27.960728333333336, 'longitude': -15.560885, 'time_utc': '2024-12-10 19:11:02.865302692 +0000 UTC'}"
"{'BaseStationReport': {'CommunicationState': 26156, 'FixType': 15, 'Latitude': 63.79083166666667, 'LongRangeEnable': False, 'Longitude': 22.769003333333334, 'MessageID': 4, 'PositionAccuracy': False, 'Raim': True, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2300087, 'UtcDay': 10, 'UtcHour': 19, 'UtcMinute': 11, 'UtcMonth': 12, 'UtcSecond': 1, 'UtcYear': 2024, 'Valid': True}}",BaseStationReport,"{'MMSI': 2300087, 'MMSI_String': 2300087, 'ShipName': '', 'latitude': 63.79083166666667, 'longitude': 22.769003333333334, 'time_utc': '2024-12-10 19:11:02.866935268 +0000 UTC'}"
"{'BaseStationReport': {'CommunicationState': 2250, 'FixType': 15, 'Latitude': 59.207118333333334, 'LongRangeEnable': False, 'Longitude': 23.505718333333334, 'MessageID': 4, 'PositionAccuracy': True, 'Raim': True, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2766080, 'UtcDay': 10, 'UtcHour': 19, 'UtcMinute': 11, 'UtcMonth': 12, 'UtcSecond': 0, 'UtcYear': 2024, 'Valid': True}}",BaseStationReport,"{'MMSI': 2766080, 'MMSI_String': 2766080, 'ShipName': '', 'latitude': 59.207118333333334, 'longitude': 23.505718333333334, 'time_utc': '2024-12-10 19:11:02.867715413 +0000 UTC'}"
"{'BaseStationReport': {'CommunicationState': 98399, 'FixType': 15, 'Latitude': 59.306720000000006, 'LongRangeEnable': False, 'Longitude': 4.872358333333334, 'MessageID': 4, 'PositionAccuracy': False, 'Raim': True, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2573215, 'UtcDay': 10, 'UtcHour': 19, 'UtcMinute': 11, 'UtcMonth': 12, 'UtcSecond': 1, 'UtcYear': 2024, 'Valid': True}}",BaseStationReport,"{'MMSI': 2573215, 'MMSI_String': 2573215, 'ShipName': '', 'latitude': 59.306720000000006, 'longitude': 4.872358333333334, 'time_utc': '2024-12-10 19:11:02.86807399 +0000 UTC'}"
"{'BaseStationReport': {'CommunicationState': 26156, 'FixType': 15, 'Latitude': 60.16282666666667, 'LongRangeEnable': False, 'Longitude': 21.71132833333333, 'MessageID': 4, 'PositionAccuracy': False, 'Raim': True, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2300130, 'UtcDay': 10, 'UtcHour': 19, 'UtcMinute': 11, 'UtcMonth': 12, 'UtcSecond': 2, 'UtcYear': 2024, 'Valid': True}}",BaseStationReport,"{'MMSI': 2300130, 'MMSI_String': 2300130, 'ShipName': '', 'latitude': 60.16282666666667, 'longitude': 21.71132833333333, 'time_utc': '2024-12-10 19:11:04.016847928 +0000 UTC'}"
"{'BaseStationReport': {'CommunicationState': 0, 'FixType': 15, 'Latitude': 52.53125, 'LongRangeEnable': False, 'Longitude': 13.290043333333333, 'MessageID': 11, 'PositionAccuracy': True, 'Raim': True, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2182801, 'UtcDay': 10, 'UtcHour': 19, 'UtcMinute': 11, 'UtcMonth': 12, 'UtcSecond': 3, 'UtcYear': 2024, 'Valid': True}}",BaseStationReport,"{'MMSI': 2182801, 'MMSI_String': 2182801, 'ShipName': '', 'latitude': 52.53125, 'longitude': 13.290043333333333, 'time_utc': '2024-12-10 19:11:04.412272149 +0000 UTC'}"
"{'BaseStationReport': {'CommunicationState': 0, 'FixType': 15, 'Latitude': 52.53125, 'LongRangeEnable': False, 'Longitude': 13.290043333333333, 'MessageID': 11, 'PositionAccuracy': True, 'Raim': True, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2182801, 'UtcDay': 10, 'UtcHour': 19, 'UtcMinute': 11, 'UtcMonth': 12, 'UtcSecond': 3, 'UtcYear': 2024, 'Valid': True}}",BaseStationReport,"{'MMSI': 2182801, 'MMSI_String': 2182801, 'ShipName': '', 'latitude': 52.53125, 'longitude': 13.290043333333333, 'time_utc': '2024-12-10 19:11:04.463316012 +0000 UTC'}"
"{'BaseStationReport': {'CommunicationState': 0, 'FixType': 15, 'Latitude': 52.53125, 'LongRangeEnable': False, 'Longitude': 13.290043333333333, 'MessageID': 11, 'PositionAccuracy': True, 'Raim': True, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2182801, 'UtcDay': 10, 'UtcHour': 19, 'UtcMinute': 11, 'UtcMonth': 12, 'UtcSecond': 3, 'UtcYear': 2024, 'Valid': True}}",BaseStationReport,"{'MMSI': 2182801, 'MMSI_String': 2182801, 'ShipName': '', 'latitude': 52.53125, 'longitude': 13.290043333333333, 'time_utc': '2024-12-10 19:11:04.466377259 +0000 UTC'}"
"{'BaseStationReport': {'CommunicationState': 0, 'FixType': 15, 'Latitude': 52.53125, 'LongRangeEnable': False, 'Longitude': 13.290043333333333, 'MessageID': 11, 'PositionAccuracy': True, 'Raim': True, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2182801, 'UtcDay': 10, 'UtcHour': 19, 'UtcMinute': 11, 'UtcMonth': 12, 'UtcSecond': 3, 'UtcYear': 2024, 'Valid': True}}",BaseStationReport,"{'MMSI': 2182801, 'MMSI_String': 2182801, 'ShipName': '', 'latitude': 52.53125, 'longitude': 13.290043333333333, 'time_utc': '2024-12-10 19:11:04.468015426 +0000 UTC'}"
