Message,MessageType,MetaData
"{'MultiSlotBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 366, 'FunctionIdentifier': 10, 'Valid': True}, 'ApplicationIDValid': True, 'CommunicationState': 35522, 'CommunicationStateIsItdma': True, 'DestinationID': 0, 'DestinationIDValid': False, 'MessageID': 26, 'Payload': '\x00\x00\x01\x00\x01\x01\x00\x00\x01\x01\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x00\x01\x01\x00\x00\x00\x00\x01\x00\x00\x01\x01\x00\x01\x01\x01\x01\x01\x00\x01\x01\x00\x00\x00\x00\x01\x01\x00\x01\x01\x01\x01\x00\x01\x01\x01\x00\x01\x00\x00\x00\x01\x01\x01\x01\x01\x00\x01\x00\x01\x00\x00\x00\x01\x00\x00\x00\x01\x00\x01\x01\x01\x00\x00\x01\x00\x01\x01\x01\x00\x00\x01\x00\x01\x01\x00\x01\x01\x00\x01\x00\x00\x01\x00\x01\x00\x01\x01\x00\x01\x01\x01\x01\x00\x01\x00\x00\x00\x00\x00\x01\x01\x01\x01\x01\x00', 'RepeatIndicator': 0, 'Spare1': 0, 'Spare2': 0, 'UserID': 367638180, 'Valid': True}}",MultiSlotBinaryMessage,"{'MMSI': 367638180, 'MMSI_String': 367638180, 'ShipName': 'NYPD 4', 'latitude': 40.64443000000001, 'longitude': -74.02875833333333, 'time_utc': '2024-12-10 18:55:23.530801711 +0000 UTC'}"
"{'MultiSlotBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 366, 'FunctionIdentifier': 10, 'Valid': True}, 'ApplicationIDValid': True, 'CommunicationState': 35522, 'CommunicationStateIsItdma': True, 'DestinationID': 0, 'DestinationIDValid': False, 'MessageID': 26, 'Payload': '\x00\x00\x01\x00\x01\x01\x00\x00\x01\x01\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x00\x01\x01\x00\x00\x00\x00\x01\x00\x00\x01\x01\x00\x01\x01\x01\x01\x01\x00\x01\x01\x00\x00\x00\x00\x01\x01\x00\x01\x01\x01\x01\x00\x01\x01\x01\x00\x01\x00\x00\x00\x01\x01\x01\x01\x01\x00\x01\x00\x01\x00\x00\x00\x01\x00\x00\x00\x01\x00\x01\x01\x01\x00\x00\x01\x00\x01\x01\x01\x00\x00\x01\x00\x01\x01\x00\x01\x01\x00\x01\x00\x00\x01\x00\x01\x00\x01\x01\x00\x01\x01\x01\x01\x00\x01\x00\x00\x00\x00\x00\x01\x01\x01\x01\x01\x00', 'RepeatIndicator': 0, 'Spare1': 0, 'Spare2': 0, 'UserID': 367638180, 'Valid': True}}",MultiSlotBinaryMessage,"{'MMSI': 367638180, 'MMSI_String': 367638180, 'ShipName': 'NYPD 4', 'latitude': 40.64443000000001, 'longitude': -74.02875833333333, 'time_utc': '2024-12-10 18:55:23.59687347 +0000 UTC'}"
"{'MultiSlotBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 366, 'FunctionIdentifier': 10, 'Valid': True}, 'ApplicationIDValid': True, 'CommunicationState': 35874, 'CommunicationStateIsItdma': True, 'DestinationID': 0, 'DestinationIDValid': False, 'MessageID': 26, 'Payload': '\x01\x01\x00\x00\x00\x00\x00\x01\x01\x01\x01\x00\x00\x01\x00\x01\x00\x00\x01\x00\x01\x00\x01\x00\x00\x00\x00\x01\x01\x01\x01\x00\x01\x01\x00\x01\x01\x00\x01\x01\x01\x00\x00\x00\x00\x00\x01\x01\x00\x01\x01\x00\x00\x00\x00\x00\x00\x01\x01\x00\x01\x01\x01\x00\x00\x01\x00\x01\x01\x00\x01\x00\x01\x01\x00\x00\x01\x01\x00\x00\x00\x01\x01\x00\x01\x00\x01\x01\x01\x01\x00\x00\x01\x01\x01\x01\x01\x00\x01\x01\x01\x01\x01\x00\x00\x01\x00\x01\x00\x01\x01\x00\x00\x00\x01\x00\x01\x00\x01\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x01\x00\x01\x00\x00\x00\x01\x01\x01\x01\x00\x01\x01\x00', 'RepeatIndicator': 0, 'Spare1': 0, 'Spare2': 0, 'UserID': 367503230, 'Valid': True}}",MultiSlotBinaryMessage,"{'MMSI': 367503230, 'MMSI_String': 367503230, 'ShipName': 'FDNY F/B BRAVEST', 'latitude': 40.70478166666667, 'longitude': -73.97273333333332, 'time_utc': '2024-12-10 19:10:08.677535283 +0000 UTC'}"
"{'MultiSlotBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 366, 'FunctionIdentifier': 10, 'Valid': True}, 'ApplicationIDValid': True, 'CommunicationState': 18130, 'CommunicationStateIsItdma': True, 'DestinationID': 0, 'DestinationIDValid': False, 'MessageID': 26, 'Payload': '\x00\x01\x01\x01\x01\x01\x00\x00\x01\x00\x00\x01\x01\x00\x00\x00\x01\x01\x00\x01\x00\x00\x01\x01\x01\x00\x00\x01\x01\x01\x00\x01\x00\x01\x00\x01\x00\x01\x01\x00\x00\x01\x01\x00\x01\x00\x01\x01\x01\x00\x01\x00\x00\x01\x01\x01\x01\x01\x01\x00\x01\x01\x00\x01\x01\x00\x00\x01\x00\x01\x00\x00\x01\x00\x01\x01\x01\x01\x00\x01\x01\x01\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x01\x01\x01\x00\x00\x01\x00\x00\x00\x01\x00\x01\x00\x01\x01\x01\x01\x01\x00\x01\x00\x01\x01\x01\x01\x01\x00\x00\x00\x01\x01\x00\x00\x00\x01\x00\x01\x01\x01\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00', 'RepeatIndicator': 0, 'Spare1': 0, 'Spare2': 0, 'UserID': 367635490, 'Valid': True}}",MultiSlotBinaryMessage,"{'MMSI': 367635490, 'MMSI_String': 367635490, 'ShipName': 'NYPD 9', 'latitude': 40.563545, 'longitude': -73.93244166666666, 'time_utc': '2024-12-10 19:10:08.67859171 +0000 UTC'}"
"{'MultiSlotBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 366, 'FunctionIdentifier': 10, 'Valid': True}, 'ApplicationIDValid': True, 'CommunicationState': 34674, 'CommunicationStateIsItdma': True, 'DestinationID': 0, 'DestinationIDValid': False, 'MessageID': 26, 'Payload': '\x00\x01\x01\x00\x01\x01\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x01\x01\x00\x01\x00\x01\x00\x00\x01\x00\x01\x00\x00\x01\x01\x00\x01\x01\x01\x00\x01\x01\x00\x01\x01\x00\x00\x01\x01\x01\x01\x00\x00\x00\x01\x00\x00\x00\x01\x01\x01\x00\x01\x01\x01\x00\x01\x01\x01\x00\x01\x00\x01\x00\x00\x01\x01\x00\x00\x01\x00\x00\x01\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x01\x00\x01\x01\x00\x00\x00\x01\x01\x00\x01\x00\x01\x00\x00\x01\x00\x01\x00\x01\x00\x01\x01\x01\x00\x00\x01\x01\x00\x00\x00\x00\x00\x01\x01\x01\x00\x00\x01\x00\x00\x01\x00\x01\x01\x00\x00\x01\x00\x01\x00', 'RepeatIndicator': 0, 'Spare1': 0, 'Spare2': 0, 'UserID': 367531730, 'Valid': True}}",MultiSlotBinaryMessage,"{'MMSI': 367531730, 'MMSI_String': 367531730, 'ShipName': 'FDNY M6A', 'latitude': 40.704730000000005, 'longitude': -73.97258166666667, 'time_utc': '2024-12-10 19:11:04.39770875 +0000 UTC'}"
"{'MultiSlotBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 366, 'FunctionIdentifier': 10, 'Valid': True}, 'ApplicationIDValid': True, 'CommunicationState': 34674, 'CommunicationStateIsItdma': True, 'DestinationID': 0, 'DestinationIDValid': False, 'MessageID': 26, 'Payload': '\x00\x01\x01\x00\x01\x01\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x01\x01\x00\x01\x00\x01\x00\x00\x01\x00\x01\x00\x00\x01\x01\x00\x01\x01\x01\x00\x01\x01\x00\x01\x01\x00\x00\x01\x01\x01\x01\x00\x00\x00\x01\x00\x00\x00\x01\x01\x01\x00\x01\x01\x01\x00\x01\x01\x01\x00\x01\x00\x01\x00\x00\x01\x01\x00\x00\x01\x00\x00\x01\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x01\x00\x01\x01\x00\x00\x00\x01\x01\x00\x01\x00\x01\x00\x00\x01\x00\x01\x00\x01\x00\x01\x01\x01\x00\x00\x01\x01\x00\x00\x00\x00\x00\x01\x01\x01\x00\x00\x01\x00\x00\x01\x00\x01\x01\x00\x00\x01\x00\x01\x00', 'RepeatIndicator': 0, 'Spare1': 0, 'Spare2': 0, 'UserID': 367531730, 'Valid': True}}",MultiSlotBinaryMessage,"{'MMSI': 367531730, 'MMSI_String': 367531730, 'ShipName': 'FDNY M6A', 'latitude': 40.704730000000005, 'longitude': -73.97258166666667, 'time_utc': '2024-12-10 19:11:04.410895428 +0000 UTC'}"
"{'MultiSlotBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 366, 'FunctionIdentifier': 10, 'Valid': True}, 'ApplicationIDValid': True, 'CommunicationState': 36242, 'CommunicationStateIsItdma': True, 'DestinationID': 0, 'DestinationIDValid': False, 'MessageID': 26, 'Payload': '\x00\x01\x00\x00\x00\x01\x01\x01\x01\x01\x01\x00\x00\x01\x01\x01\x00\x00\x01\x00\x01\x01\x01\x00\x00\x01\x00\x01\x00\x01\x00\x01\x01\x00\x01\x01\x00\x00\x01\x00\x00\x01\x01\x00\x01\x00\x00\x00\x01\x00\x00\x01\x00\x01\x01\x00\x00\x01\x00\x00\x00\x01\x01\x01\x00\x01\x00\x01\x00\x00\x01\x00\x01\x01\x01\x00\x00\x00\x01\x00\x01\x01\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x01\x00\x01\x01\x01\x00\x01\x01\x00\x00\x01\x01\x01\x01\x01\x00\x01\x01\x01\x00\x01\x00\x00\x00\x01\x00\x01\x01\x00\x01\x00\x00\x00\x00\x00\x01\x01\x01\x00\x01\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00', 'RepeatIndicator': 0, 'Spare1': 0, 'Spare2': 0, 'UserID': 368337480, 'Valid': True}}",MultiSlotBinaryMessage,"{'MMSI': 368337480, 'MMSI_String': 368337480, 'ShipName': 'NYPD 319', 'latitude': 40.67232166666667, 'longitude': -74.01757666666667, 'time_utc': '2024-12-10 19:11:06.055412138 +0000 UTC'}"
"{'MultiSlotBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 366, 'FunctionIdentifier': 10, 'Valid': True}, 'ApplicationIDValid': True, 'CommunicationState': 36242, 'CommunicationStateIsItdma': True, 'DestinationID': 0, 'DestinationIDValid': False, 'MessageID': 26, 'Payload': '\x00\x01\x00\x00\x00\x01\x01\x01\x01\x01\x01\x00\x00\x01\x01\x01\x00\x00\x01\x00\x01\x01\x01\x00\x00\x01\x00\x01\x00\x01\x00\x01\x01\x00\x01\x01\x00\x00\x01\x00\x00\x01\x01\x00\x01\x00\x00\x00\x01\x00\x00\x01\x00\x01\x01\x00\x00\x01\x00\x00\x00\x01\x01\x01\x00\x01\x00\x01\x00\x00\x01\x00\x01\x01\x01\x00\x00\x00\x01\x00\x01\x01\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x01\x00\x01\x01\x01\x00\x01\x01\x00\x00\x01\x01\x01\x01\x01\x00\x01\x01\x01\x00\x01\x00\x00\x00\x01\x00\x01\x01\x00\x01\x00\x00\x00\x00\x00\x01\x01\x01\x00\x01\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00', 'RepeatIndicator': 0, 'Spare1': 0, 'Spare2': 0, 'UserID': 368337480, 'Valid': True}}",MultiSlotBinaryMessage,"{'MMSI': 368337480, 'MMSI_String': 368337480, 'ShipName': 'NYPD 319', 'latitude': 40.67232166666667, 'longitude': -74.01757666666667, 'time_utc': '2024-12-10 19:11:06.069679998 +0000 UTC'}"
"{'MultiSlotBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 366, 'FunctionIdentifier': 10, 'Valid': True}, 'ApplicationIDValid': True, 'CommunicationState': 17954, 'CommunicationStateIsItdma': True, 'DestinationID': 0, 'DestinationIDValid': False, 'MessageID': 26, 'Payload': '\x00\x01\x01\x01\x01\x00\x00\x00\x01\x01\x01\x00\x01\x01\x01\x01\x01\x01\x01\x00\x00\x00\x00\x01\x00\x01\x00\x00\x01\x00\x01\x00\x01\x01\x01\x00\x00\x01\x01\x01\x00\x00\x01\x00\x01\x01\x00\x01\x01\x01\x01\x01\x01\x01\x01\x01\x00\x01\x01\x00\x01\x00\x01\x01\x00\x00\x01\x01\x01\x00\x01\x00\x00\x01\x01\x01\x00\x01\x01\x01\x01\x00\x00\x01\x00\x01\x01\x01\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x01\x01\x00\x01\x00\x00\x01\x00\x01\x00\x01\x00\x00\x00\x00\x01\x00\x00\x00\x01\x01\x01\x01\x00\x00\x00\x00\x01\x01\x00\x00\x01\x00\x00\x00\x01\x01\x01\x01\x01\x00\x01\x00\x01\x00', 'RepeatIndicator': 0, 'Spare1': 0, 'Spare2': 0, 'UserID': 367638180, 'Valid': True}}",MultiSlotBinaryMessage,"{'MMSI': 367638180, 'MMSI_String': 367638180, 'ShipName': 'NYPD 4', 'latitude': 40.64435666666667, 'longitude': -74.02846, 'time_utc': '2024-12-10 19:19:54.521554763 +0000 UTC'}"
"{'MultiSlotBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 366, 'FunctionIdentifier': 10, 'Valid': True}, 'ApplicationIDValid': True, 'CommunicationState': 17954, 'CommunicationStateIsItdma': True, 'DestinationID': 0, 'DestinationIDValid': False, 'MessageID': 26, 'Payload': '\x00\x01\x01\x01\x01\x00\x00\x00\x01\x01\x01\x00\x01\x01\x01\x01\x01\x01\x01\x00\x00\x00\x00\x01\x00\x01\x00\x00\x01\x00\x01\x00\x01\x01\x01\x00\x00\x01\x01\x01\x00\x00\x01\x00\x01\x01\x00\x01\x01\x01\x01\x01\x01\x01\x01\x01\x00\x01\x01\x00\x01\x00\x01\x01\x00\x00\x01\x01\x01\x00\x01\x00\x00\x01\x01\x01\x00\x01\x01\x01\x01\x00\x00\x01\x00\x01\x01\x01\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x01\x01\x00\x01\x00\x00\x01\x00\x01\x00\x01\x00\x00\x00\x00\x01\x00\x00\x00\x01\x01\x01\x01\x00\x00\x00\x00\x01\x01\x00\x00\x01\x00\x00\x00\x01\x01\x01\x01\x01\x00\x01\x00\x01\x00', 'RepeatIndicator': 0, 'Spare1': 0, 'Spare2': 0, 'UserID': 367638180, 'Valid': True}}",MultiSlotBinaryMessage,"{'MMSI': 367638180, 'MMSI_String': 367638180, 'ShipName': 'NYPD 4', 'latitude': 40.64435666666667, 'longitude': -74.02846, 'time_utc': '2024-12-10 19:19:54.61200621 +0000 UTC'}"
