Message,MessageType,MetaData
"{'StandardClassBPositionReport': {'AssignedMode': False, 'ClassBBand': False, 'ClassBDisplay': True, 'ClassBDsc': True, 'ClassBMsg22': True, 'ClassBUnit': True, 'Cog': 337.1, 'CommunicationState': 393222, 'CommunicationStateIsItdma': True, 'Latitude': 25.675285, 'Longitude': -80.16759333333333, 'MessageID': 18, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 49, 'TrueHeading': 511, 'UserID': 368124690, 'Valid': True}}",StandardClassBPositionReport,"{'MMSI': 368124690, 'MMSI_String': 368124690, 'ShipName': 'DAYDREAMS', 'latitude': 25.675285, 'longitude': -80.16759333333333, 'time_utc': '2024-12-10 18:54:50.277216497 +0000 UTC'}"
"{'StandardClassBPositionReport': {'AssignedMode': False, 'ClassBBand': True, 'ClassBDisplay': False, 'ClassBDsc': True, 'ClassBMsg22': True, 'ClassBUnit': False, 'Cog': 360, 'CommunicationState': 84522, 'CommunicationStateIsItdma': True, 'Latitude': 25.67724666666667, 'Longitude': -80.16375500000001, 'MessageID': 18, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 49, 'TrueHeading': 511, 'UserID': 338402113, 'Valid': True}}",StandardClassBPositionReport,"{'MMSI': 338402113, 'MMSI_String': 338402113, 'ShipName': '', 'latitude': 25.67724666666667, 'longitude': -80.16375500000001, 'time_utc': '2024-12-10 18:54:50.335997645 +0000 UTC'}"
"{'StandardClassBPositionReport': {'AssignedMode': False, 'ClassBBand': True, 'ClassBDisplay': False, 'ClassBDsc': True, 'ClassBMsg22': True, 'ClassBUnit': True, 'Cog': 101.9, 'CommunicationState': 393222, 'CommunicationStateIsItdma': True, 'Latitude': 25.817105, 'Longitude': -80.12366333333333, 'MessageID': 18, 'PositionAccuracy': True, 'Raim': True, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 50, 'TrueHeading': 511, 'UserID': 368092660, 'Valid': True}}",StandardClassBPositionReport,"{'MMSI': 368092660, 'MMSI_String': 368092660, 'ShipName': '', 'latitude': 25.817105, 'longitude': -80.12366333333333, 'time_utc': '2024-12-10 18:54:50.513931645 +0000 UTC'}"
"{'StandardClassBPositionReport': {'AssignedMode': False, 'ClassBBand': True, 'ClassBDisplay': False, 'ClassBDsc': True, 'ClassBMsg22': True, 'ClassBUnit': False, 'Cog': 360, 'CommunicationState': 69706, 'CommunicationStateIsItdma': True, 'Latitude': 25.775283333333334, 'Longitude': -80.14277166666668, 'MessageID': 18, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 55, 'TrueHeading': 511, 'UserID': 368289940, 'Valid': True}}",StandardClassBPositionReport,"{'MMSI': 368289940, 'MMSI_String': 368289940, 'ShipName': 'AMAVI', 'latitude': 25.775283333333334, 'longitude': -80.14277166666668, 'time_utc': '2024-12-10 18:54:56.186320506 +0000 UTC'}"
"{'StandardClassBPositionReport': {'AssignedMode': False, 'ClassBBand': True, 'ClassBDisplay': False, 'ClassBDsc': True, 'ClassBMsg22': True, 'ClassBUnit': True, 'Cog': 88.2, 'CommunicationState': 393222, 'CommunicationStateIsItdma': True, 'Latitude': 25.769546666666667, 'Longitude': -80.13885499999999, 'MessageID': 18, 'PositionAccuracy': True, 'Raim': True, 'RepeatIndicator': 0, 'Sog': 0.1, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 56, 'TrueHeading': 511, 'UserID': 338316962, 'Valid': True}}",StandardClassBPositionReport,"{'MMSI': 338316962, 'MMSI_String': 338316962, 'ShipName': 'BIGGERMONTHLYPAYMENT', 'latitude': 25.769546666666667, 'longitude': -80.13885499999999, 'time_utc': '2024-12-10 18:54:56.910187094 +0000 UTC'}"
"{'StandardClassBPositionReport': {'AssignedMode': False, 'ClassBBand': True, 'ClassBDisplay': False, 'ClassBDsc': True, 'ClassBMsg22': True, 'ClassBUnit': True, 'Cog': 120.4, 'CommunicationState': 393222, 'CommunicationStateIsItdma': True, 'Latitude': 25.78323, 'Longitude': -80.15609500000001, 'MessageID': 18, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 7, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 56, 'TrueHeading': 511, 'UserID': 367765690, 'Valid': True}}",StandardClassBPositionReport,"{'MMSI': 367765690, 'MMSI_String': 367765690, 'ShipName': '', 'latitude': 25.78323, 'longitude': -80.15609500000001, 'time_utc': '2024-12-10 18:54:57.276593665 +0000 UTC'}"
"{'StandardClassBPositionReport': {'AssignedMode': False, 'ClassBBand': True, 'ClassBDisplay': False, 'ClassBDsc': True, 'ClassBMsg22': True, 'ClassBUnit': False, 'Cog': 360, 'CommunicationState': 81562, 'CommunicationStateIsItdma': True, 'Latitude': 25.796016666666667, 'Longitude': -80.14603333333334, 'MessageID': 18, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 2, 'TrueHeading': 511, 'UserID': 368319650, 'Valid': True}}",StandardClassBPositionReport,"{'MMSI': 368319650, 'MMSI_String': 368319650, 'ShipName': 'BANSHO', 'latitude': 25.796016666666667, 'longitude': -80.14603333333334, 'time_utc': '2024-12-10 18:55:03.476581934 +0000 UTC'}"
"{'StandardClassBPositionReport': {'AssignedMode': False, 'ClassBBand': True, 'ClassBDisplay': False, 'ClassBDsc': True, 'ClassBMsg22': True, 'ClassBUnit': False, 'Cog': 99.7, 'CommunicationState': 98469, 'CommunicationStateIsItdma': False, 'Latitude': 25.75485666666667, 'Longitude': -80.18865166666666, 'MessageID': 18, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 5.1, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 4, 'TrueHeading': 511, 'UserID': 338493779, 'Valid': True}}",StandardClassBPositionReport,"{'MMSI': 338493779, 'MMSI_String': 338493779, 'ShipName': 'TAMAMSA', 'latitude': 25.75485666666667, 'longitude': -80.18865166666666, 'time_utc': '2024-12-10 18:55:05.080007719 +0000 UTC'}"
"{'StandardClassBPositionReport': {'AssignedMode': False, 'ClassBBand': True, 'ClassBDisplay': False, 'ClassBDsc': True, 'ClassBMsg22': True, 'ClassBUnit': False, 'Cog': 360, 'CommunicationState': 84074, 'CommunicationStateIsItdma': True, 'Latitude': 25.795383333333334, 'Longitude': -80.14632, 'MessageID': 18, 'PositionAccuracy': True, 'Raim': True, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 4, 'TrueHeading': 511, 'UserID': 338476471, 'Valid': True}}",StandardClassBPositionReport,"{'MMSI': 338476471, 'MMSI_String': 338476471, 'ShipName': 'TRUE NORTH', 'latitude': 25.795383333333334, 'longitude': -80.14632, 'time_utc': '2024-12-10 18:55:05.122705744 +0000 UTC'}"
"{'StandardClassBPositionReport': {'AssignedMode': False, 'ClassBBand': True, 'ClassBDisplay': False, 'ClassBDsc': True, 'ClassBMsg22': True, 'ClassBUnit': False, 'Cog': 360, 'CommunicationState': 84506, 'CommunicationStateIsItdma': True, 'Latitude': 25.794795, 'Longitude': -80.14634666666667, 'MessageID': 18, 'PositionAccuracy': True, 'Raim': True, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 4, 'TrueHeading': 511, 'UserID': 338410341, 'Valid': True}}",StandardClassBPositionReport,"{'MMSI': 338410341, 'MMSI_String': 338410341, 'ShipName': '', 'latitude': 25.794795, 'longitude': -80.14634666666667, 'time_utc': '2024-12-10 18:55:05.709466797 +0000 UTC'}"
