Message,MessageType,MetaData
"{'AddressedBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 235, 'FunctionIdentifier': 10, 'Valid': True}, 'BinaryData': '\x01\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x01\x01\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00', 'DestinationID': 2320075, 'MessageID': 6, 'RepeatIndicator': 0, 'Retransmission': False, 'Sequenceinteger': 0, 'Spare': False, 'UserID': 992351357, 'Valid': True}}",AddressedBinaryMessage,"{'MMSI': 992351357, 'MMSI_String': 992351357, 'ShipName': '', 'latitude': 50.364196666666665, 'longitude': -4.1684833333333335, 'time_utc': '2024-12-10 19:11:02.481921654 +0000 UTC'}"
"{'AddressedBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 232, 'FunctionIdentifier': 1, 'Valid': True}, 'BinaryData': '\x01\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x01\x00\x00\x01\x01\x00\x01\x00\x01\x00\x00\x01\x01\x01\x01\x01\x00\x01\x01\x00\x01\x00\x00\x00\x01\x01\x00\x01\x00\x01\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x01\x01\x01\x00\x01\x01\x00\x01\x00\x01\x01\x01\x01', 'DestinationID': 2320900, 'MessageID': 6, 'RepeatIndicator': 0, 'Retransmission': True, 'Sequenceinteger': 1, 'Spare': False, 'UserID': 235054923, 'Valid': True}}",AddressedBinaryMessage,"{'MMSI': 235054923, 'MMSI_String': 235054923, 'ShipName': 'RIVERSCAPE', 'latitude': 51.50861166666667, 'longitude': -0.11953333333333332, 'time_utc': '2024-12-10 19:11:02.618446404 +0000 UTC'}"
"{'AddressedBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 232, 'FunctionIdentifier': 1, 'Valid': True}, 'BinaryData': '\x01\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x01\x00\x00\x01\x01\x00\x01\x00\x01\x00\x00\x01\x01\x01\x01\x01\x00\x01\x01\x00\x01\x00\x00\x00\x01\x01\x00\x01\x00\x01\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x01\x01\x01\x00\x01\x01\x00\x01\x00\x01\x01\x01\x01', 'DestinationID': 2320900, 'MessageID': 6, 'RepeatIndicator': 0, 'Retransmission': True, 'Sequenceinteger': 1, 'Spare': False, 'UserID': 235054923, 'Valid': True}}",AddressedBinaryMessage,"{'MMSI': 235054923, 'MMSI_String': 235054923, 'ShipName': 'RIVERSCAPE', 'latitude': 51.50861166666667, 'longitude': -0.11953333333333332, 'time_utc': '2024-12-10 19:11:02.865734978 +0000 UTC'}"
"{'AddressedBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 232, 'FunctionIdentifier': 1, 'Valid': True}, 'BinaryData': '\x00\x00\x00\x01\x01\x00\x00\x00\x01\x01\x00\x01\x00\x00\x01\x01\x01\x01\x00\x01\x01\x01\x00\x01\x00\x01\x01\x01\x01\x01\x01\x00\x00\x01\x01\x01\x00\x00\x01\x00\x00\x00\x00\x01\x01\x00\x01\x00\x00\x00\x00\x00\x00\x01\x00\x00\x01\x01\x01\x00\x01\x01\x01\x01', 'DestinationID': 2320900, 'MessageID': 6, 'RepeatIndicator': 0, 'Retransmission': True, 'Sequenceinteger': 3, 'Spare': False, 'UserID': 235056987, 'Valid': True}}",AddressedBinaryMessage,"{'MMSI': 235056987, 'MMSI_String': 235056987, 'ShipName': 'AURORA CLIPPER', 'latitude': 51.49758833333333, 'longitude': 0.05347166666666667, 'time_utc': '2024-12-10 19:11:02.900527003 +0000 UTC'}"
"{'AddressedBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 232, 'FunctionIdentifier': 1, 'Valid': True}, 'BinaryData': '\x00\x00\x00\x01\x01\x00\x00\x00\x01\x01\x00\x01\x00\x00\x01\x01\x01\x01\x00\x01\x01\x01\x00\x01\x00\x01\x01\x01\x01\x01\x01\x00\x00\x01\x01\x01\x00\x00\x01\x00\x00\x00\x00\x01\x01\x00\x01\x00\x00\x00\x00\x00\x00\x01\x00\x00\x01\x01\x01\x00\x01\x01\x01\x01', 'DestinationID': 2320900, 'MessageID': 6, 'RepeatIndicator': 0, 'Retransmission': True, 'Sequenceinteger': 3, 'Spare': False, 'UserID': 235056987, 'Valid': True}}",AddressedBinaryMessage,"{'MMSI': 235056987, 'MMSI_String': 235056987, 'ShipName': 'AURORA CLIPPER', 'latitude': 51.49758833333333, 'longitude': 0.05347166666666667, 'time_utc': '2024-12-10 19:11:03.091605861 +0000 UTC'}"
"{'AddressedBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 0, 'FunctionIdentifier': 0, 'Valid': True}, 'BinaryData': '\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x01\x00\x01\x01\x00\x01\x01\x00\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x00\x01\x01\x00\x01\x00\x00\x00\x01\x00\x01\x01\x00\x01\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x01\x00\x01\x00\x00\x00\x00', 'DestinationID': 552222222, 'MessageID': 6, 'RepeatIndicator': 0, 'Retransmission': False, 'Sequenceinteger': 0, 'Spare': False, 'UserID': 5631137, 'Valid': True}}",AddressedBinaryMessage,"{'MMSI': 5631137, 'MMSI_String': 5631137, 'ShipName': '', 'latitude': 1.2256416666666667, 'longitude': 103.77847833333334, 'time_utc': '2024-12-10 19:11:03.567867192 +0000 UTC'}"
"{'AddressedBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 1, 'FunctionIdentifier': 0, 'Valid': True}, 'BinaryData': '\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x01\x01\x01\x00\x00\x00\x01\x00\x01\x00\x00\x00\x00\x01\x01\x01\x01\x00\x00\x01\x00\x01\x01\x00\x01\x01\x00\x00\x01\x00\x00\x01\x01\x01\x01\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x00\x01\x00\x00\x00\x00\x00\x01\x00\x01\x00\x00\x01\x00\x00\x01\x00\x01\x00\x00\x00\x00\x01\x00\x00\x01\x00\x01\x00\x00\x01\x01\x01\x01\x01\x01\x01\x00\x00\x00\x01\x00\x00\x01\x00\x00\x01\x01\x01\x00\x00\x00\x00\x01\x01\x00\x00\x00\x01\x01\x01\x01\x01\x00\x01\x01\x01\x00\x01\x00\x00\x00\x00\x00\x00\x01\x00\x01\x01\x01\x00\x00\x00\x01\x00\x01\x00\x00\x00\x00\x00\x01\x00\x01\x00\x01\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x01\x00\x01\x00\x01\x00\x00\x01\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x01\x00\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x01\x00\x00\x01\x00\x01\x01\x00\x00\x01\x01\x01\x01\x01\x00\x00\x00\x00\x00\x00\x01\x00\x01\x00\x00\x00\x00\x01\x00\x00\x01\x00\x00\x01\x01\x00\x01\x00\x00\x00\x01\x00\x01\x01\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x01\x01\x00\x00\x01\x01\x01\x01\x01\x00\x01\x00\x01\x01\x00\x01\x00\x01\x01\x01\x00\x01\x00\x01\x01\x00\x00\x00\x00\x00\x00\x01\x00\x01\x01\x01\x00\x00\x01\x00\x00\x01\x00\x00\x01\x01\x01\x00\x00\x00\x00\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x01\x00\x01\x00\x00\x00\x00\x00\x01\x01\x01\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x00\x01\x01\x00\x01\x01\x01\x01\x00\x01\x00\x00\x01\x01\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x00\x01\x00\x00\x00\x00\x00\x01\x00\x00\x01\x00\x00\x01\x00\x01\x00\x00\x01\x01\x00\x00\x00\x00\x00\x01\x00\x00\x01\x00\x01\x01\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x01\x00\x01\x00\x00\x00\x00\x01\x00\x00\x01\x00\x00\x01\x01\x00\x01\x00\x00\x00\x01\x00\x01\x01\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x01\x01\x00\x00\x01\x01\x01\x01\x01\x00\x01\x00\x01\x01\x00\x01\x00\x01\x01\x01\x00\x01\x00\x01\x01\x00\x00\x00\x00\x00\x00\x01\x00\x01\x01\x01\x00\x00\x01\x00\x00\x01\x00\x00\x01\x01\x01\x00\x00\x00\x00\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x01\x00\x00\x01\x00\x01\x01\x01\x01\x00\x00\x00\x00\x00\x01\x01\x01\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x00\x01\x01\x00\x01\x01\x01\x01\x00\x01\x00\x00\x01\x01\x01\x00\x00\x00\x00\x00\x00\x00', 'DestinationID': 431003736, 'MessageID': 6, 'RepeatIndicator': 0, 'Retransmission': False, 'Sequenceinteger': 2, 'Spare': False, 'UserID': 4310311, 'Valid': True}}",AddressedBinaryMessage,"{'MMSI': 4310311, 'MMSI_String': 4310311, 'ShipName': '', 'latitude': 34.975, 'longitude': 138.8345, 'time_utc': '2024-12-10 19:11:03.608120509 +0000 UTC'}"
"{'AddressedBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 0, 'FunctionIdentifier': 0, 'Valid': True}, 'BinaryData': '\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x01\x00\x01\x01\x00\x01\x01\x00\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x01\x00\x01\x01\x00\x01\x00\x00\x00\x01\x00\x01\x01\x00\x01\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x01\x00\x00\x01\x00\x01\x00\x00\x00\x00', 'DestinationID': 552222222, 'MessageID': 6, 'RepeatIndicator': 0, 'Retransmission': False, 'Sequenceinteger': 0, 'Spare': False, 'UserID': 5631137, 'Valid': True}}",AddressedBinaryMessage,"{'MMSI': 5631137, 'MMSI_String': 5631137, 'ShipName': '', 'latitude': 1.2256416666666667, 'longitude': 103.77847833333334, 'time_utc': '2024-12-10 19:11:03.697309294 +0000 UTC'}"
"{'AddressedBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 1, 'FunctionIdentifier': 0, 'Valid': True}, 'BinaryData': '\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x01\x01\x01\x00\x00\x00\x01\x00\x01\x00\x00\x00\x00\x01\x01\x01\x01\x00\x00\x01\x00\x01\x01\x00\x01\x01\x00\x00\x01\x00\x00\x01\x01\x01\x01\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x00\x01\x00\x00\x00\x00\x00\x01\x00\x01\x00\x00\x01\x00\x00\x01\x00\x01\x00\x00\x00\x00\x01\x00\x00\x01\x00\x01\x00\x00\x01\x01\x01\x01\x01\x01\x01\x00\x00\x00\x01\x00\x00\x01\x00\x00\x01\x01\x01\x00\x00\x00\x00\x01\x01\x00\x00\x00\x01\x01\x01\x01\x01\x00\x01\x01\x01\x00\x01\x00\x00\x00\x00\x00\x00\x01\x00\x01\x01\x01\x00\x00\x00\x01\x00\x01\x00\x00\x00\x00\x00\x01\x00\x01\x00\x01\x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x01\x00\x01\x00\x01\x00\x00\x01\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x01\x00\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x01\x00\x00\x01\x00\x01\x01\x00\x00\x01\x01\x01\x01\x01\x00\x00\x00\x00\x00\x00\x01\x00\x01\x00\x00\x00\x00\x01\x00\x00\x01\x00\x00\x01\x01\x00\x01\x00\x00\x00\x01\x00\x01\x01\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x01\x01\x00\x00\x01\x01\x01\x01\x01\x00\x01\x00\x01\x01\x00\x01\x00\x01\x01\x01\x00\x01\x00\x01\x01\x00\x00\x00\x00\x00\x00\x01\x00\x01\x01\x01\x00\x00\x01\x00\x00\x01\x00\x00\x01\x01\x01\x00\x00\x00\x00\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x01\x00\x01\x00\x00\x00\x00\x00\x01\x01\x01\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x00\x01\x01\x00\x01\x01\x01\x01\x00\x01\x00\x00\x01\x01\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x00\x01\x00\x00\x00\x00\x00\x01\x00\x00\x01\x00\x00\x01\x00\x01\x00\x00\x01\x01\x00\x00\x00\x00\x00\x01\x00\x00\x01\x00\x01\x01\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x00\x00\x01\x00\x01\x00\x00\x00\x00\x01\x00\x00\x01\x00\x00\x01\x01\x00\x01\x00\x00\x00\x01\x00\x01\x01\x00\x00\x00\x00\x00\x01\x01\x00\x00\x00\x00\x01\x01\x00\x00\x01\x01\x01\x01\x01\x00\x01\x00\x01\x01\x00\x01\x00\x01\x01\x01\x00\x01\x00\x01\x01\x00\x00\x00\x00\x00\x00\x01\x00\x01\x01\x01\x00\x00\x01\x00\x00\x01\x00\x00\x01\x01\x01\x00\x00\x00\x00\x01\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x01\x00\x00\x01\x00\x01\x01\x01\x01\x00\x00\x00\x00\x00\x01\x01\x01\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x01\x01\x00\x01\x01\x00\x01\x01\x01\x01\x00\x01\x00\x00\x01\x01\x01\x00\x00\x00\x00\x00\x00\x00', 'DestinationID': 431003736, 'MessageID': 6, 'RepeatIndicator': 0, 'Retransmission': False, 'Sequenceinteger': 2, 'Spare': False, 'UserID': 4310311, 'Valid': True}}",AddressedBinaryMessage,"{'MMSI': 4310311, 'MMSI_String': 4310311, 'ShipName': '', 'latitude': 34.975, 'longitude': 138.8345, 'time_utc': '2024-12-10 19:11:03.724638922 +0000 UTC'}"
"{'AddressedBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 232, 'FunctionIdentifier': 1, 'Valid': True}, 'BinaryData': '\x01\x00\x01\x00\x00\x00\x01\x01\x01\x00\x01\x01\x00\x01\x00\x00\x01\x00\x00\x00\x00\x00\x01\x01\x01\x01\x01\x01\x00\x00\x00\x00\x01\x00\x01\x01\x00\x00\x00\x00\x00\x01\x00\x00\x00\x01\x01\x01\x01\x01\x00\x00\x00\x01\x01\x01\x00\x00\x00\x00\x01\x00\x01\x00', 'DestinationID': 2320900, 'MessageID': 6, 'RepeatIndicator': 0, 'Retransmission': True, 'Sequenceinteger': 3, 'Spare': False, 'UserID': 232017796, 'Valid': True}}",AddressedBinaryMessage,"{'MMSI': 232017796, 'MMSI_String': 232017796, 'ShipName': 'BEN WOOLLACOTT', 'latitude': 51.495268333333335, 'longitude': 0.06286666666666667, 'time_utc': '2024-12-10 19:11:03.726110424 +0000 UTC'}"
"{'AddressedBinaryMessage': {'ApplicationID': {'DesignatedAreaCode': 232, 'FunctionIdentifier': 1, 'Valid': True}, 'BinaryData': '\x01\x00\x01\x00\x00\x00\x01\x01\x01\x00\x01\x01\x00\x01\x00\x00\x01\x00\x00\x00\x00\x00\x01\x01\x01\x01\x01\x01\x00\x00\x00\x00\x01\x00\x01\x01\x00\x00\x00\x00\x00\x01\x00\x00\x00\x01\x01\x01\x01\x01\x00\x00\x00\x01\x01\x01\x00\x00\x00\x00\x01\x00\x01\x00', 'DestinationID': 2320900, 'MessageID': 6, 'RepeatIndicator': 0, 'Retransmission': True, 'Sequenceinteger': 3, 'Spare': False, 'UserID': 232017796, 'Valid': True}}",AddressedBinaryMessage,"{'MMSI': 232017796, 'MMSI_String': 232017796, 'ShipName': 'BEN WOOLLACOTT', 'latitude': 51.495268333333335, 'longitude': 0.06286666666666667, 'time_utc': '2024-12-10 19:11:03.726633653 +0000 UTC'}"
