Message,MessageType,MetaData
"{'AssignedModeCommand': {'Commands': {'0': {'DestinationID': 232057491, 'Increment': 0, 'Offset': 180, 'Valid': True}, '1': {'DestinationID': 232057491, 'Increment': 0, 'Offset': 180, 'Valid': True}}, 'MessageID': 16, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320063, 'Valid': True}}",AssignedModeCommand,"{'MMSI': 2320063, 'MMSI_String': 2320063, 'ShipName': '', 'latitude': 51.46971833333334, 'longitude': 0.065635, 'time_utc': '2024-12-10 19:10:08.603361565 +0000 UTC'}"
"{'AssignedModeCommand': {'Commands': {'0': {'DestinationID': 249923000, 'Increment': 0, 'Offset': 20, 'Valid': True}, '1': {'DestinationID': 249923000, 'Increment': 0, 'Offset': 20, 'Valid': True}}, 'MessageID': 16, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320844, 'Valid': True}}",AssignedModeCommand,"{'MMSI': 2320844, 'MMSI_String': 2320844, 'ShipName': '', 'latitude': 53.58327833333333, 'longitude': -0.06795166666666666, 'time_utc': '2024-12-10 19:11:02.298505651 +0000 UTC'}"
"{'AssignedModeCommand': {'Commands': {'0': {'DestinationID': 215178000, 'Increment': 0, 'Offset': 20, 'Valid': True}, '1': {'DestinationID': 215178000, 'Increment': 0, 'Offset': 20, 'Valid': True}}, 'MessageID': 16, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320844, 'Valid': True}}",AssignedModeCommand,"{'MMSI': 2320844, 'MMSI_String': 2320844, 'ShipName': '', 'latitude': 53.58327833333333, 'longitude': -0.06795166666666666, 'time_utc': '2024-12-10 19:11:02.478919359 +0000 UTC'}"
"{'AssignedModeCommand': {'Commands': {'0': {'DestinationID': 215178000, 'Increment': 0, 'Offset': 20, 'Valid': True}, '1': {'DestinationID': 215178000, 'Increment': 0, 'Offset': 20, 'Valid': True}}, 'MessageID': 16, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320844, 'Valid': True}}",AssignedModeCommand,"{'MMSI': 2320844, 'MMSI_String': 2320844, 'ShipName': '', 'latitude': 53.58327833333333, 'longitude': -0.06795166666666666, 'time_utc': '2024-12-10 19:11:02.480475871 +0000 UTC'}"
"{'AssignedModeCommand': {'Commands': {'0': {'DestinationID': 248553000, 'Increment': 0, 'Offset': 20, 'Valid': True}, '1': {'DestinationID': 248553000, 'Increment': 0, 'Offset': 20, 'Valid': True}}, 'MessageID': 16, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320844, 'Valid': True}}",AssignedModeCommand,"{'MMSI': 2320844, 'MMSI_String': 2320844, 'ShipName': '', 'latitude': 53.58327833333333, 'longitude': -0.06795166666666666, 'time_utc': '2024-12-10 19:11:02.581168761 +0000 UTC'}"
"{'AssignedModeCommand': {'Commands': {'0': {'DestinationID': 248553000, 'Increment': 0, 'Offset': 20, 'Valid': True}, '1': {'DestinationID': 248553000, 'Increment': 0, 'Offset': 20, 'Valid': True}}, 'MessageID': 16, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320844, 'Valid': True}}",AssignedModeCommand,"{'MMSI': 2320844, 'MMSI_String': 2320844, 'ShipName': '', 'latitude': 53.58327833333333, 'longitude': -0.06795166666666666, 'time_utc': '2024-12-10 19:11:02.581473417 +0000 UTC'}"
"{'AssignedModeCommand': {'Commands': {'0': {'DestinationID': 256809000, 'Increment': 0, 'Offset': 20, 'Valid': True}, '1': {'DestinationID': 256809000, 'Increment': 0, 'Offset': 20, 'Valid': True}}, 'MessageID': 16, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320844, 'Valid': True}}",AssignedModeCommand,"{'MMSI': 2320844, 'MMSI_String': 2320844, 'ShipName': '', 'latitude': 53.58327833333333, 'longitude': -0.06795166666666666, 'time_utc': '2024-12-10 19:11:02.617122742 +0000 UTC'}"
"{'AssignedModeCommand': {'Commands': {'0': {'DestinationID': 477886300, 'Increment': 0, 'Offset': 300, 'Valid': True}, '1': {'DestinationID': 477886300, 'Increment': 0, 'Offset': 300, 'Valid': True}}, 'MessageID': 16, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320025, 'Valid': True}}",AssignedModeCommand,"{'MMSI': 2320025, 'MMSI_String': 2320025, 'ShipName': '', 'latitude': 51.935845, 'longitude': 1.3182866666666666, 'time_utc': '2024-12-10 19:11:02.61953493 +0000 UTC'}"
"{'AssignedModeCommand': {'Commands': {'0': {'DestinationID': 477886300, 'Increment': 0, 'Offset': 300, 'Valid': True}, '1': {'DestinationID': 477886300, 'Increment': 0, 'Offset': 300, 'Valid': True}}, 'MessageID': 16, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320025, 'Valid': True}}",AssignedModeCommand,"{'MMSI': 2320025, 'MMSI_String': 2320025, 'ShipName': '', 'latitude': 51.935845, 'longitude': 1.3182866666666666, 'time_utc': '2024-12-10 19:11:02.620314544 +0000 UTC'}"
"{'AssignedModeCommand': {'Commands': {'0': {'DestinationID': 245088000, 'Increment': 0, 'Offset': 20, 'Valid': True}, '1': {'DestinationID': 245088000, 'Increment': 0, 'Offset': 20, 'Valid': True}}, 'MessageID': 16, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320844, 'Valid': True}}",AssignedModeCommand,"{'MMSI': 2320844, 'MMSI_String': 2320844, 'ShipName': '', 'latitude': 53.58327833333333, 'longitude': -0.06795166666666666, 'time_utc': '2024-12-10 19:11:02.734422682 +0000 UTC'}"
