Message,MessageType,MetaData
"{'BinaryAcknowledge': {'Destinations': {'0': {'DestinationID': 209992000, 'Sequenceinteger': 1, 'Valid': True}, '1': {'DestinationID': 209992000, 'Sequenceinteger': 2, 'Valid': True}, '2': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '3': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}}, 'MessageID': 7, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2442132, 'Valid': True}}",BinaryAcknowledge,"{'MMSI': 2442132, 'MMSI_String': 2442132, 'ShipName': '', 'latitude': 51.522505, 'longitude': 3.4410000000000003, 'time_utc': '2024-12-10 18:55:23.532566388 +0000 UTC'}"
"{'BinaryAcknowledge': {'Destinations': {'0': {'DestinationID': 227401715, 'Sequenceinteger': 0, 'Valid': True}, '1': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '2': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '3': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}}, 'MessageID': 7, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2268402, 'Valid': True}}",BinaryAcknowledge,"{'MMSI': 2268402, 'MMSI_String': 2268402, 'ShipName': '', 'latitude': 48.39293333333333, 'longitude': 7.269546666666667, 'time_utc': '2024-12-10 19:11:02.731747215 +0000 UTC'}"
"{'BinaryAcknowledge': {'Destinations': {'0': {'DestinationID': 227401715, 'Sequenceinteger': 0, 'Valid': True}, '1': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '2': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '3': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}}, 'MessageID': 7, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2268402, 'Valid': True}}",BinaryAcknowledge,"{'MMSI': 2268402, 'MMSI_String': 2268402, 'ShipName': '', 'latitude': 48.39293333333333, 'longitude': 7.269546666666667, 'time_utc': '2024-12-10 19:11:02.932224308 +0000 UTC'}"
"{'BinaryAcknowledge': {'Destinations': {'0': {'DestinationID': 992359997, 'Sequenceinteger': 0, 'Valid': True}, '1': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '2': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '3': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}}, 'MessageID': 7, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320075, 'Valid': True}}",BinaryAcknowledge,"{'MMSI': 2320075, 'MMSI_String': 2320075, 'ShipName': 'LONGROOM PCS', 'latitude': 50.362935, 'longitude': -4.156856666666666, 'time_utc': '2024-12-10 19:11:03.438916584 +0000 UTC'}"
"{'BinaryAcknowledge': {'Destinations': {'0': {'DestinationID': 992359997, 'Sequenceinteger': 0, 'Valid': True}, '1': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '2': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '3': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}}, 'MessageID': 7, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320075, 'Valid': True}}",BinaryAcknowledge,"{'MMSI': 2320075, 'MMSI_String': 2320075, 'ShipName': 'LONGROOM PCS', 'latitude': 50.362935, 'longitude': -4.156856666666666, 'time_utc': '2024-12-10 19:11:03.456482005 +0000 UTC'}"
"{'BinaryAcknowledge': {'Destinations': {'0': {'DestinationID': 992359997, 'Sequenceinteger': 0, 'Valid': True}, '1': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '2': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '3': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}}, 'MessageID': 7, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320075, 'Valid': True}}",BinaryAcknowledge,"{'MMSI': 2320075, 'MMSI_String': 2320075, 'ShipName': 'LONGROOM PCS', 'latitude': 50.362935, 'longitude': -4.156856666666666, 'time_utc': '2024-12-10 19:11:03.529270127 +0000 UTC'}"
"{'BinaryAcknowledge': {'Destinations': {'0': {'DestinationID': 992359997, 'Sequenceinteger': 0, 'Valid': True}, '1': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '2': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '3': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}}, 'MessageID': 7, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320075, 'Valid': True}}",BinaryAcknowledge,"{'MMSI': 2320075, 'MMSI_String': 2320075, 'ShipName': 'LONGROOM PCS', 'latitude': 50.362935, 'longitude': -4.156856666666666, 'time_utc': '2024-12-10 19:11:03.56945846 +0000 UTC'}"
"{'BinaryAcknowledge': {'Destinations': {'0': {'DestinationID': 992359997, 'Sequenceinteger': 0, 'Valid': True}, '1': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '2': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '3': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}}, 'MessageID': 7, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320075, 'Valid': True}}",BinaryAcknowledge,"{'MMSI': 2320075, 'MMSI_String': 2320075, 'ShipName': 'LONGROOM PCS', 'latitude': 50.362935, 'longitude': -4.156856666666666, 'time_utc': '2024-12-10 19:11:04.46838834 +0000 UTC'}"
"{'BinaryAcknowledge': {'Destinations': {'0': {'DestinationID': 992359997, 'Sequenceinteger': 0, 'Valid': True}, '1': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '2': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '3': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}}, 'MessageID': 7, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320075, 'Valid': True}}",BinaryAcknowledge,"{'MMSI': 2320075, 'MMSI_String': 2320075, 'ShipName': 'LONGROOM PCS', 'latitude': 50.362935, 'longitude': -4.156856666666666, 'time_utc': '2024-12-10 19:11:04.554384009 +0000 UTC'}"
"{'BinaryAcknowledge': {'Destinations': {'0': {'DestinationID': 2268405, 'Sequenceinteger': 0, 'Valid': True}, '1': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '2': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}, '3': {'DestinationID': 0, 'Sequenceinteger': 0, 'Valid': False}}, 'MessageID': 7, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 211883180, 'Valid': True}}",BinaryAcknowledge,"{'MMSI': 211883180, 'MMSI_String': 211883180, 'ShipName': 'EILTANK 120', 'latitude': 47.556351666666664, 'longitude': 7.640675, 'time_utc': '2024-12-10 19:11:07.623927271 +0000 UTC'}"
