Message,MessageType,MetaData
"{'DataLinkManagementMessage': {'Data': {'0': {'Increment': 750, 'Offset': 1748, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '1': {'Increment': 1125, 'Offset': 0, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '2': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}, '3': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}}, 'MessageID': 20, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2655069, 'Valid': True}}",DataLinkManagementMessage,"{'MMSI': 2655069, 'MMSI_String': 2655069, 'ShipName': 'ASKHOLMEN           ', 'latitude': 59.33504333333334, 'longitude': 18.126820000000002, 'time_utc': '2024-12-10 18:55:23.502143443 +0000 UTC'}"
"{'DataLinkManagementMessage': {'Data': {'0': {'Increment': 750, 'Offset': 1748, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '1': {'Increment': 1125, 'Offset': 0, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '2': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}, '3': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}}, 'MessageID': 20, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2655069, 'Valid': True}}",DataLinkManagementMessage,"{'MMSI': 2655069, 'MMSI_String': 2655069, 'ShipName': 'ASKHOLMEN           ', 'latitude': 59.33504333333334, 'longitude': 18.126820000000002, 'time_utc': '2024-12-10 18:55:23.502891668 +0000 UTC'}"
"{'DataLinkManagementMessage': {'Data': {'0': {'Increment': 750, 'Offset': 1748, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '1': {'Increment': 1125, 'Offset': 0, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '2': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}, '3': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}}, 'MessageID': 20, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2655069, 'Valid': True}}",DataLinkManagementMessage,"{'MMSI': 2655069, 'MMSI_String': 2655069, 'ShipName': 'ASKHOLMEN           ', 'latitude': 59.33504333333334, 'longitude': 18.126820000000002, 'time_utc': '2024-12-10 18:55:23.503062562 +0000 UTC'}"
"{'DataLinkManagementMessage': {'Data': {'0': {'Increment': 0, 'Offset': 1435, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 3}, '1': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}, '2': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}, '3': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}}, 'MessageID': 20, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320075, 'Valid': True}}",DataLinkManagementMessage,"{'MMSI': 2320075, 'MMSI_String': 2320075, 'ShipName': 'LONGROOM PCS', 'latitude': 50.362935, 'longitude': -4.156856666666666, 'time_utc': '2024-12-10 18:55:23.503233765 +0000 UTC'}"
"{'DataLinkManagementMessage': {'Data': {'0': {'Increment': 1125, 'Offset': 0, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '1': {'Increment': 750, 'Offset': 1748, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '2': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}, '3': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}}, 'MessageID': 20, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2655115, 'Valid': True}}",DataLinkManagementMessage,"{'MMSI': 2655115, 'MMSI_String': 2655115, 'ShipName': '', 'latitude': 56.67763333333333, 'longitude': 16.567516666666666, 'time_utc': '2024-12-10 18:55:23.503742728 +0000 UTC'}"
"{'DataLinkManagementMessage': {'Data': {'0': {'Increment': 750, 'Offset': 1373, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '1': {'Increment': 1125, 'Offset': 1685, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '2': {'Increment': 750, 'Offset': 1498, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '3': {'Increment': 1125, 'Offset': 0, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}}, 'MessageID': 20, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320909, 'Valid': True}}",DataLinkManagementMessage,"{'MMSI': 2320909, 'MMSI_String': 2320909, 'ShipName': 'FLAG PCS', 'latitude': 50.373646666666666, 'longitude': -4.183146666666667, 'time_utc': '2024-12-10 18:55:23.503916235 +0000 UTC'}"
"{'DataLinkManagementMessage': {'Data': {'0': {'Increment': 750, 'Offset': 1748, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '1': {'Increment': 1125, 'Offset': 0, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '2': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}, '3': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}}, 'MessageID': 20, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2655069, 'Valid': True}}",DataLinkManagementMessage,"{'MMSI': 2655069, 'MMSI_String': 2655069, 'ShipName': 'ASKHOLMEN           ', 'latitude': 59.33504333333334, 'longitude': 18.126820000000002, 'time_utc': '2024-12-10 18:55:23.532203351 +0000 UTC'}"
"{'DataLinkManagementMessage': {'Data': {'0': {'Increment': 750, 'Offset': 1373, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '1': {'Increment': 1125, 'Offset': 1685, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '2': {'Increment': 750, 'Offset': 1498, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '3': {'Increment': 1125, 'Offset': 0, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}}, 'MessageID': 20, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2320909, 'Valid': True}}",DataLinkManagementMessage,"{'MMSI': 2320909, 'MMSI_String': 2320909, 'ShipName': 'FLAG PCS', 'latitude': 50.373646666666666, 'longitude': -4.183146666666667, 'time_utc': '2024-12-10 18:55:23.533222258 +0000 UTC'}"
"{'DataLinkManagementMessage': {'Data': {'0': {'Increment': 750, 'Offset': 1748, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '1': {'Increment': 1125, 'Offset': 0, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '2': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}, '3': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}}, 'MessageID': 20, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2655069, 'Valid': True}}",DataLinkManagementMessage,"{'MMSI': 2655069, 'MMSI_String': 2655069, 'ShipName': 'ASKHOLMEN           ', 'latitude': 59.33504333333334, 'longitude': 18.126820000000002, 'time_utc': '2024-12-10 18:55:23.534118573 +0000 UTC'}"
"{'DataLinkManagementMessage': {'Data': {'0': {'Increment': 250, 'Offset': 1498, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '1': {'Increment': 1125, 'Offset': 2250, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '2': {'Increment': 1125, 'Offset': 1385, 'TimeOut': 7, 'Valid': False, 'integerOfSlots': 1}, '3': {'Increment': 0, 'Offset': 0, 'TimeOut': 0, 'Valid': False, 'integerOfSlots': 0}}, 'MessageID': 20, 'RepeatIndicator': 0, 'Spare': 0, 'UserID': 2241130, 'Valid': True}}",DataLinkManagementMessage,"{'MMSI': 2241130, 'MMSI_String': 2241130, 'ShipName': 'AITANA', 'latitude': 38.651089999999996, 'longitude': -0.27416, 'time_utc': '2024-12-10 18:55:23.574452507 +0000 UTC'}"
