Message,MessageType,MetaData
"{'ExtendedClassBPositionReport': {'AssignedMode': False, 'Cog': 46.1, 'Dimension': {'A': 5, 'B': 5, 'C': 5, 'D': 5}, 'Dte': False, 'FixType': 1, 'Latitude': -16.946945, 'Longitude': 145.768745, 'MessageID': 19, 'Name': 'HSD-NET-92%', 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 247, 'Spare2': 0, 'Spare3': 0, 'Timestamp': 0, 'TrueHeading': 511, 'Type': 0, 'UserID': 233010503, 'Valid': True}}",ExtendedClassBPositionReport,"{'MMSI': 233010503, 'MMSI_String': 233010503, 'ShipName': '', 'latitude': -16.946945, 'longitude': 145.768745, 'time_utc': '2024-12-10 19:11:02.438159382 +0000 UTC'}"
"{'ExtendedClassBPositionReport': {'AssignedMode': False, 'Cog': 0, 'Dimension': {'A': 15, 'B': 8, 'C': 4, 'D': 4}, 'Dte': True, 'FixType': 1, 'Latitude': 1.2629583333333334, 'Longitude': 103.83752666666666, 'MessageID': 19, 'Name': 'TB BUANA ATLANTIC   ', 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Spare3': 0, 'Timestamp': 7, 'TrueHeading': 511, 'Type': 52, 'UserID': 525003274, 'Valid': True}}",ExtendedClassBPositionReport,"{'MMSI': 525003274, 'MMSI_String': 525003274, 'ShipName': 'TB BUANA ATLANTIC   ', 'latitude': 1.2629583333333334, 'longitude': 103.83752666666666, 'time_utc': '2024-12-10 19:11:07.794600669 +0000 UTC'}"
"{'ExtendedClassBPositionReport': {'AssignedMode': False, 'Cog': 247.3, 'Dimension': {'A': 4, 'B': 4, 'C': 1, 'D': 1}, 'Dte': False, 'FixType': 1, 'Latitude': 33.84930333333333, 'Longitude': -118.40039166666666, 'MessageID': 19, 'Name': 'HUCKLEBERRY2-02%', 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 3, 'Spare2': 0, 'Spare3': 0, 'Timestamp': 0, 'TrueHeading': 511, 'Type': 0, 'UserID': 338501908, 'Valid': True}}",ExtendedClassBPositionReport,"{'MMSI': 338501908, 'MMSI_String': 338501908, 'ShipName': 'HUCKLEBERRY2-02%', 'latitude': 33.84930333333333, 'longitude': -118.40039166666666, 'time_utc': '2024-12-10 19:11:08.389056099 +0000 UTC'}"
"{'ExtendedClassBPositionReport': {'AssignedMode': False, 'Cog': 353.7, 'Dimension': {'A': 5, 'B': 5, 'C': 5, 'D': 5}, 'Dte': False, 'FixType': 1, 'Latitude': -39.05584666666667, 'Longitude': 143.311305, 'MessageID': 19, 'Name': 'FISHING NET-1-99%', 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Spare3': 0, 'Timestamp': 60, 'TrueHeading': 456, 'Type': 0, 'UserID': 243410761, 'Valid': True}}",ExtendedClassBPositionReport,"{'MMSI': 243410761, 'MMSI_String': 243410761, 'ShipName': 'FISHING NET-1-96%', 'latitude': -39.05584666666667, 'longitude': 143.311305, 'time_utc': '2024-12-10 19:22:06.063493145 +0000 UTC'}"
"{'ExtendedClassBPositionReport': {'AssignedMode': False, 'Cog': 48.7, 'Dimension': {'A': 5, 'B': 7, 'C': 2, 'D': 2}, 'Dte': True, 'FixType': 0, 'Latitude': 62.62186166666667, 'Longitude': 7.096201666666667, 'MessageID': 19, 'Name': 'ODDEN               ', 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 2, 'Spare3': 8, 'Timestamp': 51, 'TrueHeading': 511, 'Type': 37, 'UserID': 257786070, 'Valid': True}}",ExtendedClassBPositionReport,"{'MMSI': 257786070, 'MMSI_String': 257786070, 'ShipName': 'ODDEN               ', 'latitude': 62.62186166666667, 'longitude': 7.096201666666667, 'time_utc': '2024-12-10 19:50:01.007701291 +0000 UTC'}"
"{'ExtendedClassBPositionReport': {'AssignedMode': False, 'Cog': 290.9, 'Dimension': {'A': 15, 'B': 8, 'C': 4, 'D': 1}, 'Dte': True, 'FixType': 0, 'Latitude': -17.527778333333334, 'Longitude': -149.56994666666665, 'MessageID': 19, 'Name': 'TUAHITI             ', 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Spare3': 0, 'Timestamp': 60, 'TrueHeading': 511, 'Type': 30, 'UserID': 546001800, 'Valid': True}}",ExtendedClassBPositionReport,"{'MMSI': 546001800, 'MMSI_String': 546001800, 'ShipName': 'TUAHITI             ', 'latitude': -17.527778333333334, 'longitude': -149.56994666666665, 'time_utc': '2024-12-10 21:24:32.317606537 +0000 UTC'}"
"{'ExtendedClassBPositionReport': {'AssignedMode': False, 'Cog': 0, 'Dimension': {'A': 108, 'B': 15, 'C': 10, 'D': 13}, 'Dte': True, 'FixType': 0, 'Latitude': 14.5624, 'Longitude': 120.94160000000001, 'MessageID': 19, 'Name': 'KANG LING 539', 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Spare3': 0, 'Timestamp': 60, 'TrueHeading': 511, 'Type': 70, 'UserID': 667002237, 'Valid': True}}",ExtendedClassBPositionReport,"{'MMSI': 667002237, 'MMSI_String': 667002237, 'ShipName': 'KANGLING539         ', 'latitude': 14.5624, 'longitude': 120.94160000000001, 'time_utc': '2024-12-10 21:24:34.170889135 +0000 UTC'}"
"{'ExtendedClassBPositionReport': {'AssignedMode': False, 'Cog': 256.4, 'Dimension': {'A': 5, 'B': 5, 'C': 1, 'D': 1}, 'Dte': False, 'FixType': 1, 'Latitude': 33.84907833333333, 'Longitude': -118.400525, 'MessageID': 19, 'Name': 'FLYING DUTCHMAN-73%', 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 223, 'Spare2': 0, 'Spare3': 0, 'Timestamp': 0, 'TrueHeading': 511, 'Type': 0, 'UserID': 338218167, 'Valid': True}}",ExtendedClassBPositionReport,"{'MMSI': 338218167, 'MMSI_String': 338218167, 'ShipName': 'FLYING DUTCHMAN-65%', 'latitude': 33.84907833333333, 'longitude': -118.400525, 'time_utc': '2024-12-10 21:24:35.864030106 +0000 UTC'}"
"{'ExtendedClassBPositionReport': {'AssignedMode': False, 'Cog': 359, 'Dimension': {'A': 20, 'B': 10, 'C': 2, 'D': 6}, 'Dte': True, 'FixType': 1, 'Latitude': 14.566669999999998, 'Longitude': 109.06496, 'MessageID': 19, 'Name': 'YU 306 -62 =73%     ', 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Spare3': 0, 'Timestamp': 60, 'TrueHeading': 359, 'Type': 0, 'UserID': 130618062, 'Valid': True}}",ExtendedClassBPositionReport,"{'MMSI': 130618062, 'MMSI_String': 130618062, 'ShipName': '', 'latitude': 14.566669999999998, 'longitude': 109.06496, 'time_utc': '2024-12-10 21:24:42.358312365 +0000 UTC'}"
"{'ExtendedClassBPositionReport': {'AssignedMode': False, 'Cog': 6.5, 'Dimension': {'A': 35, 'B': 21, 'C': 15, 'D': 8}, 'Dte': True, 'FixType': 0, 'Latitude': 6.074191666666667, 'Longitude': 116.11966666666667, 'MessageID': 19, 'Name': 'DA RUN 27', 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Spare3': 0, 'Timestamp': 60, 'TrueHeading': 511, 'Type': 90, 'UserID': 511396000, 'Valid': True}}",ExtendedClassBPositionReport,"{'MMSI': 511396000, 'MMSI_String': 511396000, 'ShipName': 'DA RUN 27', 'latitude': 6.074191666666667, 'longitude': 116.11966666666667, 'time_utc': '2024-12-10 21:24:45.014712293 +0000 UTC'}"
