Message,MessageType,MetaData
"{'Interrogation': {'MessageID': 15, 'RepeatIndicator': 0, 'Spare': 0, 'Station1Msg1': {'MessageID': 235026811, 'SlotOffset': 0, 'StationID': 235026811, 'Valid': True}, 'Station1Msg2': {'MessageID': 0, 'SlotOffset': 0, 'Spare': 0, 'Valid': False}, 'Station2': {'MessageID': 0, 'SlotOffset': 0, 'Spare1': 0, 'Spare2': 0, 'StationID': 0, 'Valid': False}, 'UserID': 249901000, 'Valid': True}}",Interrogation,"{'MMSI': 249901000, 'MMSI_String': 249901000, 'ShipName': 'CELINE              ', 'latitude': 53.664073333333334, 'longitude': -0.22461166666666665, 'time_utc': '2024-12-10 19:10:08.607207415 +0000 UTC'}"
"{'Interrogation': {'MessageID': 15, 'RepeatIndicator': 0, 'Spare': 0, 'Station1Msg1': {'MessageID': 244660242, 'SlotOffset': 0, 'StationID': 244660242, 'Valid': True}, 'Station1Msg2': {'MessageID': 0, 'SlotOffset': 0, 'Spare': 0, 'Valid': False}, 'Station2': {'MessageID': 0, 'SlotOffset': 0, 'Spare1': 0, 'Spare2': 0, 'StationID': 0, 'Valid': False}, 'UserID': 244386742, 'Valid': True}}",Interrogation,"{'MMSI': 244386742, 'MMSI_String': 244386742, 'ShipName': 'MSTX 36', 'latitude': 51.90365166666666, 'longitude': 4.484771666666666, 'time_utc': '2024-12-10 19:10:08.673234525 +0000 UTC'}"
"{'Interrogation': {'MessageID': 15, 'RepeatIndicator': 0, 'Spare': 0, 'Station1Msg1': {'MessageID': 235026811, 'SlotOffset': 0, 'StationID': 235026811, 'Valid': True}, 'Station1Msg2': {'MessageID': 0, 'SlotOffset': 0, 'Spare': 0, 'Valid': False}, 'Station2': {'MessageID': 0, 'SlotOffset': 0, 'Spare1': 0, 'Spare2': 0, 'StationID': 0, 'Valid': False}, 'UserID': 249901000, 'Valid': True}}",Interrogation,"{'MMSI': 249901000, 'MMSI_String': 249901000, 'ShipName': 'CELINE              ', 'latitude': 53.664073333333334, 'longitude': -0.22461166666666665, 'time_utc': '2024-12-10 19:10:08.673489636 +0000 UTC'}"
"{'Interrogation': {'MessageID': 15, 'RepeatIndicator': 0, 'Spare': 0, 'Station1Msg1': {'MessageID': 211510620, 'SlotOffset': 0, 'StationID': 211510620, 'Valid': True}, 'Station1Msg2': {'MessageID': 0, 'SlotOffset': 0, 'Spare': 0, 'Valid': False}, 'Station2': {'MessageID': 0, 'SlotOffset': 0, 'Spare1': 0, 'Spare2': 0, 'StationID': 0, 'Valid': False}, 'UserID': 211494220, 'Valid': True}}",Interrogation,"{'MMSI': 211494220, 'MMSI_String': 211494220, 'ShipName': 'EILTANK 18 ', 'latitude': 51.446286666666666, 'longitude': 6.733196666666667, 'time_utc': '2024-12-10 19:10:08.673748635 +0000 UTC'}"
"{'Interrogation': {'MessageID': 15, 'RepeatIndicator': 3, 'Spare': 0, 'Station1Msg1': {'MessageID': 316004037, 'SlotOffset': 0, 'StationID': 316004037, 'Valid': True}, 'Station1Msg2': {'MessageID': 0, 'SlotOffset': 0, 'Spare': 0, 'Valid': False}, 'Station2': {'MessageID': 0, 'SlotOffset': 0, 'Spare1': 0, 'Spare2': 0, 'StationID': 0, 'Valid': False}, 'UserID': 3669987, 'Valid': True}}",Interrogation,"{'MMSI': 3669987, 'MMSI_String': 3669987, 'ShipName': '', 'latitude': 47.54896166666666, 'longitude': -122.78526666666667, 'time_utc': '2024-12-10 19:11:02.484466444 +0000 UTC'}"
"{'Interrogation': {'MessageID': 15, 'RepeatIndicator': 0, 'Spare': 0, 'Station1Msg1': {'MessageID': 431003736, 'SlotOffset': 0, 'StationID': 431003736, 'Valid': True}, 'Station1Msg2': {'MessageID': 3, 'SlotOffset': 0, 'Spare': 0, 'Valid': False}, 'Station2': {'MessageID': 0, 'SlotOffset': 0, 'Spare1': 0, 'Spare2': 0, 'StationID': 0, 'Valid': False}, 'UserID': 4310311, 'Valid': True}}",Interrogation,"{'MMSI': 4310311, 'MMSI_String': 4310311, 'ShipName': '', 'latitude': 34.975, 'longitude': 138.8345, 'time_utc': '2024-12-10 19:11:03.70021682 +0000 UTC'}"
"{'Interrogation': {'MessageID': 15, 'RepeatIndicator': 0, 'Spare': 0, 'Station1Msg1': {'MessageID': 431003736, 'SlotOffset': 0, 'StationID': 431003736, 'Valid': True}, 'Station1Msg2': {'MessageID': 3, 'SlotOffset': 0, 'Spare': 0, 'Valid': False}, 'Station2': {'MessageID': 0, 'SlotOffset': 0, 'Spare1': 0, 'Spare2': 0, 'StationID': 0, 'Valid': False}, 'UserID': 4310311, 'Valid': True}}",Interrogation,"{'MMSI': 4310311, 'MMSI_String': 4310311, 'ShipName': '', 'latitude': 34.975, 'longitude': 138.8345, 'time_utc': '2024-12-10 19:11:03.765514967 +0000 UTC'}"
"{'Interrogation': {'MessageID': 15, 'RepeatIndicator': 0, 'Spare': 0, 'Station1Msg1': {'MessageID': 209864000, 'SlotOffset': 0, 'StationID': 209864000, 'Valid': True}, 'Station1Msg2': {'MessageID': 0, 'SlotOffset': 0, 'Spare': 0, 'Valid': False}, 'Station2': {'MessageID': 0, 'SlotOffset': 0, 'Spare1': 0, 'Spare2': 0, 'StationID': 0, 'Valid': False}, 'UserID': 2766030, 'Valid': True}}",Interrogation,"{'MMSI': 2766030, 'MMSI_String': 2766030, 'ShipName': '', 'latitude': 58.51479833333334, 'longitude': 21.921423333333333, 'time_utc': '2024-12-10 19:11:04.10352778 +0000 UTC'}"
"{'Interrogation': {'MessageID': 15, 'RepeatIndicator': 0, 'Spare': 0, 'Station1Msg1': {'MessageID': 209864000, 'SlotOffset': 0, 'StationID': 209864000, 'Valid': True}, 'Station1Msg2': {'MessageID': 0, 'SlotOffset': 0, 'Spare': 0, 'Valid': False}, 'Station2': {'MessageID': 0, 'SlotOffset': 0, 'Spare1': 0, 'Spare2': 0, 'StationID': 0, 'Valid': False}, 'UserID': 2766030, 'Valid': True}}",Interrogation,"{'MMSI': 2766030, 'MMSI_String': 2766030, 'ShipName': '', 'latitude': 58.51479833333334, 'longitude': 21.921423333333333, 'time_utc': '2024-12-10 19:11:04.115205473 +0000 UTC'}"
"{'Interrogation': {'MessageID': 15, 'RepeatIndicator': 0, 'Spare': 0, 'Station1Msg1': {'MessageID': 209864000, 'SlotOffset': 0, 'StationID': 209864000, 'Valid': True}, 'Station1Msg2': {'MessageID': 0, 'SlotOffset': 0, 'Spare': 0, 'Valid': False}, 'Station2': {'MessageID': 0, 'SlotOffset': 0, 'Spare1': 0, 'Spare2': 0, 'StationID': 0, 'Valid': False}, 'UserID': 2766030, 'Valid': True}}",Interrogation,"{'MMSI': 2766030, 'MMSI_String': 2766030, 'ShipName': '', 'latitude': 58.51479833333334, 'longitude': 21.921423333333333, 'time_utc': '2024-12-10 19:11:04.115408227 +0000 UTC'}"
