Message,MessageType,MetaData
"{'PositionReport': {'Cog': 243.2, 'CommunicationState': 59916, 'Latitude': 25.771648333333335, 'Longitude': -80.144575, 'MessageID': 3, 'NavigationalStatus': 5, 'PositionAccuracy': False, 'Raim': False, 'RateOfTurn': -128, 'RepeatIndicator': 0, 'Sog': 0, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 47, 'TrueHeading': 146, 'UserID': 366999791, 'Valid': True}}",PositionReport,"{'MMSI': 366999791, 'MMSI_String': 366999791, 'ShipName': 'CG HUDSON', 'latitude': 25.771648333333335, 'longitude': -80.144575, 'time_utc': '2024-12-10 18:54:47.901036807 +0000 UTC'}"
"{'PositionReport': {'Cog': 106.3, 'CommunicationState': 59916, 'Latitude': 25.755796666666665, 'Longitude': -80.14083833333333, 'MessageID': 3, 'NavigationalStatus': 5, 'PositionAccuracy': False, 'Raim': False, 'RateOfTurn': 0, 'RepeatIndicator': 0, 'Sog': 0.1, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 49, 'TrueHeading': 129, 'UserID': 339464000, 'Valid': True}}",PositionReport,"{'MMSI': 339464000, 'MMSI_String': 339464000, 'ShipName': 'PLAN A              ', 'latitude': 25.755796666666665, 'longitude': -80.14083833333333, 'time_utc': '2024-12-10 18:54:49.295726371 +0000 UTC'}"
"{'PositionReport': {'Cog': 360, 'CommunicationState': 59916, 'Latitude': 25.764423333333333, 'Longitude': -80.14559166666666, 'MessageID': 1, 'NavigationalStatus': 0, 'PositionAccuracy': False, 'Raim': False, 'RateOfTurn': -128, 'RepeatIndicator': 0, 'Sog': 0, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 48, 'TrueHeading': 511, 'UserID': 367315540, 'Valid': True}}",PositionReport,"{'MMSI': 367315540, 'MMSI_String': 367315540, 'ShipName': 'FLAMINGO', 'latitude': 25.764423333333333, 'longitude': -80.14559166666666, 'time_utc': '2024-12-10 18:54:49.32774307 +0000 UTC'}"
"{'PositionReport': {'Cog': 360, 'CommunicationState': 59916, 'Latitude': 25.764351666666666, 'Longitude': -80.13956, 'MessageID': 1, 'NavigationalStatus': 0, 'PositionAccuracy': True, 'Raim': True, 'RateOfTurn': -128, 'RepeatIndicator': 0, 'Sog': 0.1, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 48, 'TrueHeading': 511, 'UserID': 368117510, 'Valid': True}}",PositionReport,"{'MMSI': 368117510, 'MMSI_String': 368117510, 'ShipName': 'PELICAN II          ', 'latitude': 25.764351666666666, 'longitude': -80.13956, 'time_utc': '2024-12-10 18:54:49.556556536 +0000 UTC'}"
"{'PositionReport': {'Cog': 225.9, 'CommunicationState': 59916, 'Latitude': 25.803483333333336, 'Longitude': -80.012385, 'MessageID': 1, 'NavigationalStatus': 0, 'PositionAccuracy': True, 'Raim': False, 'RateOfTurn': 0, 'RepeatIndicator': 0, 'Sog': 15.3, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 49, 'TrueHeading': 219, 'UserID': 319178500, 'Valid': True}}",PositionReport,"{'MMSI': 319178500, 'MMSI_String': 319178500, 'ShipName': 'MOONRISE', 'latitude': 25.803483333333336, 'longitude': -80.012385, 'time_utc': '2024-12-10 18:54:51.559480036 +0000 UTC'}"
"{'PositionReport': {'Cog': 95, 'CommunicationState': 59916, 'Latitude': 25.777416666666667, 'Longitude': -80.15939, 'MessageID': 3, 'NavigationalStatus': 5, 'PositionAccuracy': False, 'Raim': False, 'RateOfTurn': 0, 'RepeatIndicator': 0, 'Sog': 0, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 54, 'TrueHeading': 118, 'UserID': 319002600, 'Valid': True}}",PositionReport,"{'MMSI': 319002600, 'MMSI_String': 319002600, 'ShipName': 'NINA LU             ', 'latitude': 25.777416666666667, 'longitude': -80.15939, 'time_utc': '2024-12-10 18:54:54.217235494 +0000 UTC'}"
"{'PositionReport': {'Cog': 283.9, 'CommunicationState': 59916, 'Latitude': 25.823531666666668, 'Longitude': -80.12387166666667, 'MessageID': 3, 'NavigationalStatus': 5, 'PositionAccuracy': False, 'Raim': False, 'RateOfTurn': 0, 'RepeatIndicator': 0, 'Sog': 0, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 2, 'TrueHeading': 195, 'UserID': 367180940, 'Valid': True}}",PositionReport,"{'MMSI': 367180940, 'MMSI_String': 367180940, 'ShipName': 'USHER               ', 'latitude': 25.823531666666668, 'longitude': -80.12387166666667, 'time_utc': '2024-12-10 18:55:02.494298226 +0000 UTC'}"
"{'PositionReport': {'Cog': 204.9, 'CommunicationState': 59916, 'Latitude': 25.786113333333333, 'Longitude': -80.17972499999999, 'MessageID': 3, 'NavigationalStatus': 5, 'PositionAccuracy': True, 'Raim': False, 'RateOfTurn': 0, 'RepeatIndicator': 0, 'Sog': 0, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 2, 'TrueHeading': 192, 'UserID': 538071402, 'Valid': True}}",PositionReport,"{'MMSI': 538071402, 'MMSI_String': 538071402, 'ShipName': 'GENE CHASER         ', 'latitude': 25.786113333333333, 'longitude': -80.17972499999999, 'time_utc': '2024-12-10 18:55:03.160934157 +0000 UTC'}"
"{'PositionReport': {'Cog': 146.4, 'CommunicationState': 59916, 'Latitude': 25.76599333333333, 'Longitude': -80.14670500000001, 'MessageID': 1, 'NavigationalStatus': 0, 'PositionAccuracy': True, 'Raim': False, 'RateOfTurn': 127, 'RepeatIndicator': 0, 'Sog': 0, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 4, 'TrueHeading': 49, 'UserID': 367627450, 'Valid': True}}",PositionReport,"{'MMSI': 367627450, 'MMSI_String': 367627450, 'ShipName': 'GEORGE T MORAN      ', 'latitude': 25.76599333333333, 'longitude': -80.14670500000001, 'time_utc': '2024-12-10 18:55:05.023969279 +0000 UTC'}"
"{'PositionReport': {'Cog': 290.9, 'CommunicationState': 59916, 'Latitude': 25.794208333333334, 'Longitude': -80.14644, 'MessageID': 1, 'NavigationalStatus': 0, 'PositionAccuracy': True, 'Raim': False, 'RateOfTurn': 0, 'RepeatIndicator': 0, 'Sog': 0, 'Spare': 0, 'SpecialManoeuvreIndicator': 0, 'Timestamp': 5, 'TrueHeading': 511, 'UserID': 339247000, 'Valid': True}}",PositionReport,"{'MMSI': 339247000, 'MMSI_String': 339247000, 'ShipName': 'PERSISTENCE         ', 'latitude': 25.794208333333334, 'longitude': -80.14644, 'time_utc': '2024-12-10 18:55:05.525547434 +0000 UTC'}"
