Message,MessageType,MetaData
"{'ShipStaticData': {'AisVersion': 1, 'CallSign': 'WDK9354', 'Destination': 'US-MIA              ', 'Dimension': {'A': 88, 'B': 17, 'C': 10, 'D': 7}, 'Dte': True, 'Eta': {'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}, 'FixType': 0, 'ImoNumber': 0, 'MaximumStaticDraught': 3.3, 'MessageID': 5, 'Name': 'BAYOU TECHE         ', 'RepeatIndicator': 0, 'Spare': False, 'Type': 57, 'UserID': 368102870, 'Valid': True}}",ShipStaticData,"{'MMSI': 368102870, 'MMSI_String': 368102870, 'ShipName': 'BAYOU TECHE         ', 'latitude': 25.780303333333332, 'longitude': -80.17770999999999, 'time_utc': '2024-12-10 18:54:47.637880732 +0000 UTC'}"
"{'ShipStaticData': {'AisVersion': 2, 'CallSign': 'FLAMING', 'Destination': 'MIAMI', 'Dimension': {'A': 30, 'B': 0, 'C': 0, 'D': 16}, 'Dte': False, 'Eta': {'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}, 'FixType': 15, 'ImoNumber': 0, 'MaximumStaticDraught': 0, 'MessageID': 5, 'Name': 'FLAMINGO', 'RepeatIndicator': 0, 'Spare': False, 'Type': 69, 'UserID': 367315540, 'Valid': True}}",ShipStaticData,"{'MMSI': 367315540, 'MMSI_String': 367315540, 'ShipName': 'FLAMINGO', 'latitude': 25.764425000000003, 'longitude': -80.145595, 'time_utc': '2024-12-10 18:54:47.865067844 +0000 UTC'}"
"{'ShipStaticData': {'AisVersion': 2, 'CallSign': 'ZGKF2', 'Destination': 'ST BARTHS', 'Dimension': {'A': 38, 'B': 62, 'C': 8, 'D': 8}, 'Dte': False, 'Eta': {'Day': 14, 'Hour': 17, 'Minute': 0, 'Month': 12}, 'FixType': 1, 'ImoNumber': 9816232, 'MaximumStaticDraught': 4.3, 'MessageID': 5, 'Name': 'MOONRISE', 'RepeatIndicator': 0, 'Spare': False, 'Type': 37, 'UserID': 319178500, 'Valid': True}}",ShipStaticData,"{'MMSI': 319178500, 'MMSI_String': 319178500, 'ShipName': 'MOONRISE', 'latitude': 25.80378, 'longitude': -80.01204833333333, 'time_utc': '2024-12-10 18:54:48.12231791 +0000 UTC'}"
"{'ShipStaticData': {'AisVersion': 1, 'CallSign': 'C6BR3', 'Destination': 'US, GALVESTON', 'Dimension': {'A': 42, 'B': 284, 'C': 27, 'D': 28}, 'Dte': False, 'Eta': {'Day': 13, 'Hour': 10, 'Minute': 0, 'Month': 12}, 'FixType': 1, 'ImoNumber': 9677076, 'MaximumStaticDraught': 8.6, 'MessageID': 5, 'Name': 'NORWEGIAN ESCAPE', 'RepeatIndicator': 0, 'Spare': False, 'Type': 60, 'UserID': 311000341, 'Valid': True}}",ShipStaticData,"{'MMSI': 311000341, 'MMSI_String': 311000341, 'ShipName': 'NORWEGIAN ESCAPE', 'latitude': 25.77436, 'longitude': -80.16364, 'time_utc': '2024-12-10 18:54:52.120113217 +0000 UTC'}"
"{'ShipStaticData': {'AisVersion': 1, 'CallSign': 'WDH5386', 'Destination': 'MIAMI,FL            ', 'Dimension': {'A': 14, 'B': 14, 'C': 5, 'D': 5}, 'Dte': False, 'Eta': {'Day': 8, 'Hour': 22, 'Minute': 0, 'Month': 8}, 'FixType': 1, 'ImoNumber': 9764116, 'MaximumStaticDraught': 0, 'MessageID': 5, 'Name': 'GEORGE T MORAN      ', 'RepeatIndicator': 0, 'Spare': False, 'Type': 52, 'UserID': 367627450, 'Valid': True}}",ShipStaticData,"{'MMSI': 367627450, 'MMSI_String': 367627450, 'ShipName': 'GEORGE T MORAN      ', 'latitude': 25.76599333333333, 'longitude': -80.14670500000001, 'time_utc': '2024-12-10 18:55:08.601348094 +0000 UTC'}"
"{'ShipStaticData': {'AisVersion': 2, 'CallSign': 'WDL6367', 'Destination': '', 'Dimension': {'A': 0, 'B': 0, 'C': 0, 'D': 0}, 'Dte': False, 'Eta': {'Day': 0, 'Hour': 0, 'Minute': 0, 'Month': 0}, 'FixType': 15, 'ImoNumber': 0, 'MaximumStaticDraught': 0, 'MessageID': 5, 'Name': 'OSPREY              ', 'RepeatIndicator': 0, 'Spare': False, 'Type': 60, 'UserID': 367458840, 'Valid': True}}",ShipStaticData,"{'MMSI': 367458840, 'MMSI_String': 367458840, 'ShipName': 'OSPREY              ', 'latitude': 25.77076, 'longitude': -80.15121333333333, 'time_utc': '2024-12-10 18:55:11.146265558 +0000 UTC'}"
"{'ShipStaticData': {'AisVersion': 2, 'CallSign': 'LH3930', 'Destination': 'KALVAAG', 'Dimension': {'A': 4, 'B': 11, 'C': 3, 'D': 5}, 'Dte': False, 'Eta': {'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}, 'FixType': 0, 'ImoNumber': 0, 'MaximumStaticDraught': 0, 'MessageID': 5, 'Name': 'HAVFISKEN', 'RepeatIndicator': 0, 'Spare': False, 'Type': 70, 'UserID': 257119590, 'Valid': True}}",ShipStaticData,"{'MMSI': 257119590, 'MMSI_String': 257119590, 'ShipName': 'HAVFISKEN', 'latitude': 61.765125, 'longitude': 4.878295, 'time_utc': '2024-12-10 18:55:23.535845528 +0000 UTC'}"
"{'ShipStaticData': {'AisVersion': 2, 'CallSign': 'CFA2868', 'Destination': 'VANCOUVER           ', 'Dimension': {'A': 8, 'B': 12, 'C': 5, 'D': 2}, 'Dte': False, 'Eta': {'Day': 1, 'Hour': 7, 'Minute': 0, 'Month': 1}, 'FixType': 1, 'ImoNumber': 0, 'MaximumStaticDraught': 1.6, 'MessageID': 5, 'Name': 'PACIFIC SENTINEL    ', 'RepeatIndicator': 0, 'Spare': False, 'Type': 54, 'UserID': 316038854, 'Valid': True}}",ShipStaticData,"{'MMSI': 316038854, 'MMSI_String': 316038854, 'ShipName': 'PACIFIC SENTINEL    ', 'latitude': 49.298840000000006, 'longitude': -122.93757833333333, 'time_utc': '2024-12-10 18:55:23.534946539 +0000 UTC'}"
"{'ShipStaticData': {'AisVersion': 2, 'CallSign': 'LH4260', 'Destination': 'SELOY', 'Dimension': {'A': 4, 'B': 11, 'C': 4, 'D': 4}, 'Dte': False, 'Eta': {'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}, 'FixType': 3, 'ImoNumber': 0, 'MaximumStaticDraught': 0, 'MessageID': 5, 'Name': 'AUGUSTSON', 'RepeatIndicator': 0, 'Spare': False, 'Type': 70, 'UserID': 259000420, 'Valid': True}}",ShipStaticData,"{'MMSI': 259000420, 'MMSI_String': 259000420, 'ShipName': 'AUGUSTSON', 'latitude': 66.02677666666666, 'longitude': 12.252358333333332, 'time_utc': '2024-12-10 18:55:23.537152609 +0000 UTC'}"
"{'ShipStaticData': {'AisVersion': 1, 'CallSign': 'JXNN ', 'Destination': 'BERGEN   ', 'Dimension': {'A': 11, 'B': 27, 'C': 4, 'D': 2}, 'Dte': False, 'Eta': {'Day': 7, 'Hour': 22, 'Minute': 0, 'Month': 9}, 'FixType': 1, 'ImoNumber': 5234539, 'MaximumStaticDraught': 3.2, 'MessageID': 5, 'Name': 'MIDTHORDLAND', 'RepeatIndicator': 0, 'Spare': False, 'Type': 69, 'UserID': 257304700, 'Valid': True}}",ShipStaticData,"{'MMSI': 257304700, 'MMSI_String': 257304700, 'ShipName': 'MIDTHORDLAND', 'latitude': 60.148925, 'longitude': 5.374951666666666, 'time_utc': '2024-12-10 18:55:23.571659866 +0000 UTC'}"
