Message,MessageType,MetaData
"{'StandardSearchAndRescueAircraftReport': {'AltFromBaro': False, 'Altitude': 15, 'AssignedMode': False, 'Cog': 339.9, 'CommunicationState': 32897, 'CommunicationStateIsItdma': False, 'Dte': True, 'Latitude': 37.90942, 'Longitude': 12.508305, 'MessageID': 9, 'PositionAccuracy': True, 'Raim': True, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 3, 'UserID': 1001, 'Valid': True}}",StandardSearchAndRescueAircraftReport,"{'MMSI': 1001, 'MMSI_String': 1001, 'ShipName': 'AIRBORNE SAR', 'latitude': 37.90942, 'longitude': 12.508305, 'time_utc': '2024-12-10 19:11:03.69984141 +0000 UTC'}"
"{'StandardSearchAndRescueAircraftReport': {'AltFromBaro': False, 'Altitude': 15, 'AssignedMode': False, 'Cog': 339.9, 'CommunicationState': 32897, 'CommunicationStateIsItdma': False, 'Dte': True, 'Latitude': 37.90942, 'Longitude': 12.508305, 'MessageID': 9, 'PositionAccuracy': True, 'Raim': True, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 3, 'UserID': 1001, 'Valid': True}}",StandardSearchAndRescueAircraftReport,"{'MMSI': 1001, 'MMSI_String': 1001, 'ShipName': 'AIRBORNE SAR', 'latitude': 37.90942, 'longitude': 12.508305, 'time_utc': '2024-12-10 19:11:03.765268351 +0000 UTC'}"
"{'StandardSearchAndRescueAircraftReport': {'AltFromBaro': False, 'Altitude': 35, 'AssignedMode': False, 'Cog': 50.9, 'CommunicationState': 26224, 'CommunicationStateIsItdma': False, 'Dte': True, 'Latitude': 50.81198, 'Longitude': -1.2060866666666668, 'MessageID': 9, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 1, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 36, 'UserID': 111232537, 'Valid': True}}",StandardSearchAndRescueAircraftReport,"{'MMSI': 111232537, 'MMSI_String': 111232537, 'ShipName': 'COASTGUARD          ', 'latitude': 50.81198, 'longitude': -1.2060866666666668, 'time_utc': '2024-12-10 19:28:37.385763453 +0000 UTC'}"
"{'StandardSearchAndRescueAircraftReport': {'AltFromBaro': False, 'Altitude': 35, 'AssignedMode': False, 'Cog': 50.9, 'CommunicationState': 26224, 'CommunicationStateIsItdma': False, 'Dte': True, 'Latitude': 50.81198, 'Longitude': -1.2060866666666668, 'MessageID': 9, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 1, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 36, 'UserID': 111232537, 'Valid': True}}",StandardSearchAndRescueAircraftReport,"{'MMSI': 111232537, 'MMSI_String': 111232537, 'ShipName': 'COASTGUARD          ', 'latitude': 50.81198, 'longitude': -1.2060866666666668, 'time_utc': '2024-12-10 19:28:37.38630247 +0000 UTC'}"
"{'StandardSearchAndRescueAircraftReport': {'AltFromBaro': False, 'Altitude': 35, 'AssignedMode': False, 'Cog': 50.9, 'CommunicationState': 26224, 'CommunicationStateIsItdma': False, 'Dte': True, 'Latitude': 50.81198, 'Longitude': -1.2060866666666668, 'MessageID': 9, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 1, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 36, 'UserID': 111232537, 'Valid': True}}",StandardSearchAndRescueAircraftReport,"{'MMSI': 111232537, 'MMSI_String': 111232537, 'ShipName': 'COASTGUARD          ', 'latitude': 50.81198, 'longitude': -1.2060866666666668, 'time_utc': '2024-12-10 19:28:37.38740928 +0000 UTC'}"
"{'StandardSearchAndRescueAircraftReport': {'AltFromBaro': False, 'Altitude': 35, 'AssignedMode': False, 'Cog': 50.9, 'CommunicationState': 26224, 'CommunicationStateIsItdma': False, 'Dte': True, 'Latitude': 50.81198, 'Longitude': -1.2060866666666668, 'MessageID': 9, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 1, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 36, 'UserID': 111232537, 'Valid': True}}",StandardSearchAndRescueAircraftReport,"{'MMSI': 111232537, 'MMSI_String': 111232537, 'ShipName': 'COASTGUARD          ', 'latitude': 50.81198, 'longitude': -1.2060866666666668, 'time_utc': '2024-12-10 19:28:37.407693378 +0000 UTC'}"
"{'StandardSearchAndRescueAircraftReport': {'AltFromBaro': False, 'Altitude': 46, 'AssignedMode': False, 'Cog': 140.1, 'CommunicationState': 34166, 'CommunicationStateIsItdma': False, 'Dte': True, 'Latitude': 63.41997666666667, 'Longitude': 10.385591666666667, 'MessageID': 9, 'PositionAccuracy': True, 'Raim': True, 'RepeatIndicator': 0, 'Sog': 0, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 37, 'UserID': 111257003, 'Valid': True}}",StandardSearchAndRescueAircraftReport,"{'MMSI': 111257003, 'MMSI_String': 111257003, 'ShipName': '', 'latitude': 63.41997666666667, 'longitude': 10.385591666666667, 'time_utc': '2024-12-10 19:28:37.407909926 +0000 UTC'}"
"{'StandardSearchAndRescueAircraftReport': {'AltFromBaro': False, 'Altitude': 35, 'AssignedMode': False, 'Cog': 50.9, 'CommunicationState': 26224, 'CommunicationStateIsItdma': False, 'Dte': True, 'Latitude': 50.81198, 'Longitude': -1.2060866666666668, 'MessageID': 9, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 1, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 36, 'UserID': 111232537, 'Valid': True}}",StandardSearchAndRescueAircraftReport,"{'MMSI': 111232537, 'MMSI_String': 111232537, 'ShipName': 'COASTGUARD          ', 'latitude': 50.81198, 'longitude': -1.2060866666666668, 'time_utc': '2024-12-10 19:28:37.408903893 +0000 UTC'}"
"{'StandardSearchAndRescueAircraftReport': {'AltFromBaro': False, 'Altitude': 35, 'AssignedMode': False, 'Cog': 50.9, 'CommunicationState': 26224, 'CommunicationStateIsItdma': False, 'Dte': True, 'Latitude': 50.81198, 'Longitude': -1.2060866666666668, 'MessageID': 9, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 1, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 36, 'UserID': 111232537, 'Valid': True}}",StandardSearchAndRescueAircraftReport,"{'MMSI': 111232537, 'MMSI_String': 111232537, 'ShipName': 'COASTGUARD          ', 'latitude': 50.81198, 'longitude': -1.2060866666666668, 'time_utc': '2024-12-10 19:28:37.409127404 +0000 UTC'}"
"{'StandardSearchAndRescueAircraftReport': {'AltFromBaro': False, 'Altitude': 35, 'AssignedMode': False, 'Cog': 50.9, 'CommunicationState': 26224, 'CommunicationStateIsItdma': False, 'Dte': True, 'Latitude': 50.81198, 'Longitude': -1.2060866666666668, 'MessageID': 9, 'PositionAccuracy': False, 'Raim': False, 'RepeatIndicator': 0, 'Sog': 1, 'Spare1': 0, 'Spare2': 0, 'Timestamp': 36, 'UserID': 111232537, 'Valid': True}}",StandardSearchAndRescueAircraftReport,"{'MMSI': 111232537, 'MMSI_String': 111232537, 'ShipName': 'COASTGUARD          ', 'latitude': 50.81198, 'longitude': -1.2060866666666668, 'time_utc': '2024-12-10 19:28:37.409363059 +0000 UTC'}"
